Y,tau_future,score_raw,score_norm,direction,n_bull_sets,n_bear_sets,n_bull_firing,n_bear_firing,bull_weight_total,bear_weight_total,bull_weight_fired,bear_weight_fired,top_bull_conditions,top_bear_conditions,latest_date
GOOGL,252,-9.5199,-0.2393,BEARISH,0,4,0,1,0.0,39.7748,0.0,9.5199,,"BCH-USD(t=126,q=0.9) & XRP-USD(t=126,q=0.8) CPE=0.992 lift=1.98 n=126",2026-06-03
GOOGL,300,0.0,0.0,NEUTRAL,5,2,0,0,46.7175,17.5438,0.0,0.0,,,2026-06-03
GSG,63,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.5254,0.0,0.0,,,2026-06-03
GSG,126,0.0,0.0,NEUTRAL,5,2,0,0,49.0068,17.4277,0.0,0.0,,,2026-06-03
GSG,252,0.0,0.0,NEUTRAL,16,0,0,0,242.4843,0.0,0.0,0.0,,,2026-06-03
GSG,300,27.7498,0.0711,BULLISH,25,0,3,0,390.1635,0.0,27.7498,0.0,"EWY(t=300,q=0.95) & VT(t=300,q=0.95) CPE=1.000 lift=2.00 n=102 | EWY(t=300,q=0.95) & VT(t=300,q=0.95) & DBB(t=300,q=0.9) CPE=1.000 lift=2.00 n=102 | EWY(t=300,q=0.95) & VT(t=300,q=0.95) & DBB(t=300,q=0.9) & SOXX(t=300,q=0.9) CPE=1.000 lift=2.00 n=102",,2026-06-03
HG=F,21,0.0,0.0,NEUTRAL,2,0,0,0,12.5465,0.0,0.0,0.0,,,2026-06-03
HG=F,126,0.0,0.0,NEUTRAL,3,1,0,0,36.7541,9.575,0.0,0.0,,,2026-06-03
HG=F,252,0.0,0.0,NEUTRAL,4,0,0,0,56.0581,0.0,0.0,0.0,,,2026-06-03
HG=F,300,0.0,0.0,NEUTRAL,5,0,0,0,49.178,0.0,0.0,0.0,,,2026-06-03
HYG,63,0.0,0.0,NEUTRAL,3,0,0,0,24.9557,0.0,0.0,0.0,,,2026-06-03
HYG,126,0.0,0.0,NEUTRAL,9,1,0,0,102.4317,8.4429,0.0,0.0,,,2026-06-03
HYG,252,0.0,0.0,NEUTRAL,11,0,0,0,164.8564,0.0,0.0,0.0,,,2026-06-03
HYG,300,0.0,0.0,NEUTRAL,9,2,0,0,103.2957,16.0567,0.0,0.0,,,2026-06-03
IAU,63,0.0,0.0,NEUTRAL,4,0,0,0,37.1627,0.0,0.0,0.0,,,2026-06-03
IAU,126,0.0,0.0,NEUTRAL,10,0,0,0,145.1767,0.0,0.0,0.0,,,2026-06-03
IAU,252,0.0,0.0,NEUTRAL,10,1,0,0,154.5993,9.3457,0.0,0.0,,,2026-06-03
IAU,300,0.0,0.0,NEUTRAL,9,0,0,0,124.0779,0.0,0.0,0.0,,,2026-06-03
IBIT,63,0.0,0.0,NEUTRAL,1,1,0,0,8.8683,8.2153,0.0,0.0,,,2026-06-03
IBIT,126,-32.9835,-1.0,BEARISH,0,3,0,3,0.0,32.9835,0.0,32.9835,,"DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=0.891 lift=2.97 n=101 | DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=1.000 lift=2.50 n=101 | DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=1.000 lift=2.00 n=101",2026-06-03
IBIT,252,0.0,0.0,NEUTRAL,7,13,0,0,62.4889,148.9479,0.0,0.0,,,2026-06-03
IBIT,300,0.0,0.0,NEUTRAL,0,5,0,0,0.0,54.6877,0.0,0.0,,,2026-06-03
ICLN,126,0.0,0.0,NEUTRAL,1,0,0,0,9.5096,0.0,0.0,0.0,,,2026-06-03
ICLN,252,0.0,0.0,NEUTRAL,10,3,0,0,140.4311,43.0641,0.0,0.0,,,2026-06-03
ICLN,300,0.0,0.0,NEUTRAL,10,3,0,0,129.4291,36.8874,0.0,0.0,,,2026-06-03
IEF,63,0.0,0.0,NEUTRAL,2,0,0,0,22.3642,0.0,0.0,0.0,,,2026-06-03
IEF,126,0.0,0.0,NEUTRAL,3,0,0,0,25.6744,0.0,0.0,0.0,,,2026-06-03
IEF,252,0.0,0.0,NEUTRAL,11,0,0,0,133.8023,0.0,0.0,0.0,,,2026-06-03
IEF,300,0.0,0.0,NEUTRAL,12,5,0,0,153.6064,46.2865,0.0,0.0,,,2026-06-03
IEI,63,0.0,0.0,NEUTRAL,4,0,0,0,55.0717,0.0,0.0,0.0,,,2026-06-03
IEI,126,0.0,0.0,NEUTRAL,9,0,0,0,112.4116,0.0,0.0,0.0,,,2026-06-03
IEI,252,0.0,0.0,NEUTRAL,6,0,0,0,77.651,0.0,0.0,0.0,,,2026-06-03
IEI,300,0.0,0.0,NEUTRAL,9,1,0,0,118.5885,9.2103,0.0,0.0,,,2026-06-03
INDA,63,-6.193,-1.0,BEARISH,0,1,0,1,0.0,6.193,0.0,6.193,,"IBIT(t=126,q=0.75) & BITB(t=126,q=0.75) CPE=0.820 lift=1.64 n=100",2026-06-03
INDA,126,0.0,0.0,NEUTRAL,1,0,0,0,9.1026,0.0,0.0,0.0,,,2026-06-03
INDA,252,0.0,0.0,NEUTRAL,3,6,0,0,45.2415,73.7718,0.0,0.0,,,2026-06-03
INDA,300,0.0,0.0,NEUTRAL,2,1,0,0,20.8609,9.2103,0.0,0.0,,,2026-06-03
INRUSD=X,126,-43.0874,-0.5816,BEARISH,3,4,0,4,30.9988,43.0874,0.0,43.0874,,"BITB(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=1.000 lift=2.50 n=120 | BITB(t=252,q=0.5) & FBTC(t=252,q=0.5) & IBIT(t=252,q=0.5) CPE=1.000 lift=2.50 n=120 | BITB(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=1.000 lift=2.00 n=120",2026-06-03
INRUSD=X,252,0.0,0.0,NEUTRAL,5,1,0,0,55.7219,8.59,0.0,0.0,,,2026-06-03
INRUSD=X,300,0.0,0.0,NEUTRAL,8,2,0,0,89.2984,19.3784,0.0,0.0,,,2026-06-03
ITB,63,0.0,0.0,NEUTRAL,1,0,0,0,9.1902,0.0,0.0,0.0,,,2026-06-03
ITB,126,0.0,0.0,NEUTRAL,13,2,0,0,203.0292,19.3001,0.0,0.0,,,2026-06-03
ITB,252,0.0,0.0,NEUTRAL,16,0,0,0,342.2279,0.0,0.0,0.0,,,2026-06-03
ITB,300,0.0,0.0,NEUTRAL,15,0,0,0,262.2219,0.0,0.0,0.0,,,2026-06-03
IWM,126,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.7509,0.0,0.0,,,2026-06-03
IWM,252,0.0,0.0,NEUTRAL,3,1,0,0,27.631,8.7153,0.0,0.0,,,2026-06-03
IWM,300,0.0,0.0,NEUTRAL,10,2,0,0,114.3878,19.2206,0.0,0.0,,,2026-06-03
JNK,63,0.0,0.0,NEUTRAL,11,0,0,0,147.7793,0.0,0.0,0.0,,,2026-06-03
JNK,126,0.0,0.0,NEUTRAL,13,0,0,0,155.1341,0.0,0.0,0.0,,,2026-06-03
JNK,252,0.0,0.0,NEUTRAL,21,0,0,0,321.8018,0.0,0.0,0.0,,,2026-06-03
JNK,300,0.0,0.0,NEUTRAL,20,3,0,0,292.9644,26.4853,0.0,0.0,,,2026-06-03
JO,63,0.0,0.0,NEUTRAL,7,2,0,0,66.8822,15.3431,0.0,0.0,,,2026-06-03
JO,126,0.0,0.0,NEUTRAL,24,2,0,0,362.9594,17.9974,0.0,0.0,,,2026-06-03
JO,252,62.2942,0.1359,BULLISH,25,6,4,0,401.6802,56.6938,62.2942,0.0,"EFA(t=252,q=0.75) & EWY(t=252,q=0.75) CPE=1.000 lift=5.00 n=158 | IWM(t=252,q=0.9) & VTI(t=252,q=0.9) CPE=1.000 lift=2.50 n=144 | IWM(t=252,q=0.9) & VTI(t=252,q=0.9) & VT(t=252,q=0.9) CPE=1.000 lift=2.50 n=143",,2026-06-03
JO,300,89.5794,0.181,BULLISH,25,10,4,0,393.2893,101.5167,89.5794,0.0,"EWY(t=252,q=0.8) & EFA(t=252,q=0.75) CPE=0.984 lift=4.92 n=127 | EWY(t=252,q=0.8) & EFA(t=252,q=0.75) & IWM(t=252,q=0.9) CPE=0.984 lift=4.92 n=127 | EWY(t=252,q=0.8) & EFA(t=252,q=0.75) & IWM(t=252,q=0.9) & VEA(t=252,q=0.8) CPE=0.984 lift=4.92 n=127",,2026-06-03
JPM,126,0.0,0.0,NEUTRAL,2,1,0,0,20.8036,6.9713,0.0,0.0,,,2026-06-03
JPM,252,0.0,0.0,NEUTRAL,0,5,0,0,0.0,78.1804,0.0,0.0,,,2026-06-03
JPM,300,0.0,0.0,NEUTRAL,4,5,0,0,37.7307,75.3576,0.0,0.0,,,2026-06-03
JPYUSD=X,63,0.0,0.0,NEUTRAL,1,0,0,0,9.2966,0.0,0.0,0.0,,,2026-06-03
JPYUSD=X,126,0.0,0.0,NEUTRAL,2,0,0,0,21.6913,0.0,0.0,0.0,,,2026-06-03
JPYUSD=X,252,0.0,0.0,NEUTRAL,12,2,0,0,157.7298,20.768,0.0,0.0,,,2026-06-03
JPYUSD=X,300,0.0,0.0,NEUTRAL,10,2,0,0,144.9412,21.0277,0.0,0.0,,,2026-06-03
LINK-USD,63,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.3391,0.0,0.0,,,2026-06-03
LINK-USD,126,-62.0694,-1.0,BEARISH,0,6,0,6,0.0,62.0694,0.0,62.0694,,"IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.861 lift=2.87 n=122 | IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) & BITB(t=252,q=0.5) CPE=0.861 lift=2.87 n=122 | IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.934 lift=2.34 n=122",2026-06-03
LINK-USD,252,0.0,0.0,NEUTRAL,5,5,0,0,46.5179,46.6976,0.0,0.0,,,2026-06-03
LINK-USD,300,0.0,0.0,NEUTRAL,5,2,0,0,45.9568,19.8924,0.0,0.0,,,2026-06-03
LQD,63,0.0,0.0,NEUTRAL,2,0,0,0,14.2685,0.0,0.0,0.0,,,2026-06-03
LQD,126,0.0,0.0,NEUTRAL,6,0,0,0,61.6543,0.0,0.0,0.0,,,2026-06-03
