,price,z,position
2020-12-31,2.5390000343322754,0.7451370829618295,-1
2021-01-04,2.5810000896453857,0.9741816984037668,-1
2021-01-05,2.7019999027252197,1.049475879023924,-1
2021-01-06,2.7160000801086426,1.2675203847665943,-1
2021-01-07,2.7290000915527344,1.2843627658211239,-1
2021-01-08,2.700000047683716,1.2987375876807086,-1
2021-01-11,2.746999979019165,1.238351087252453,-1
2021-01-12,2.753000020980835,1.3139733137571203,-1
2021-01-13,2.7269999980926514,1.3156258867803892,-1
2021-01-14,2.6659998893737793,1.2613935709726989,-1
2021-01-15,2.736999988555908,1.1445434285130571,-1
2021-01-19,2.5460000038146973,1.262048934587729,-1
2021-01-20,2.5390000343322754,0.9081417939043687,-1
2021-01-21,2.490999937057495,0.888402233786895,-1
2021-01-22,2.446000099182129,0.7911234414308433,-1
2021-01-25,2.6019999980926514,0.6987797335481647,-1
2021-01-26,2.6559998989105225,0.9875482563404587,-1
2021-01-27,2.759999990463257,1.0775324974749978,-1
2021-01-28,2.6640000343322754,1.2507639005412212,-1
2021-01-29,2.563999891281128,1.073804889681728,-1
2021-02-01,2.8499999046325684,0.8850353634341919,-1
2021-02-02,2.8450000286102295,1.3753958535392734,-1
2021-02-03,2.7890000343322754,1.3552005850278634,-1
2021-02-04,2.934999942779541,1.2508054588839597,-1
2021-02-05,2.86299991607666,1.4776575967122487,-1
2021-02-08,2.881999969482422,1.3491770221047674,-1
2021-02-09,2.8350000381469727,1.368115550607604,-1
2021-02-10,2.9110000133514404,1.2804730988791722,-1
2021-02-11,2.868000030517578,1.3915528835410416,-1
2021-02-12,2.9119999408721924,1.3110245070751743,-1
2021-02-16,3.128999948501587,1.3696413506032812,-1
2021-02-17,3.2190001010894775,1.6850306210237977,-1
2021-02-18,3.0820000171661377,1.795826888001885,-1
2021-02-19,3.069000005722046,1.5810723531044615,-1
2021-02-22,2.953000068664551,1.546884325193083,-1
2021-02-23,2.878999948501587,1.3599593434999744,-1
2021-02-24,2.8540000915527344,1.234712646822044,-1
2021-02-25,2.7769999504089355,1.1855472209690687,-1
2021-02-26,2.7709999084472656,1.0536906956357783,-1
2021-03-01,2.7769999504089355,1.0356793822848953,-1
2021-03-02,2.8389999866485596,1.0372932546177662,-1
2021-03-03,2.815999984741211,1.1278748715068012,-1
2021-03-04,2.746000051498413,1.0824884581069787,-1
2021-03-05,2.7009999752044678,0.9613763422255075,-1
2021-03-08,2.6640000343322754,0.8798097101749479,-1
2021-03-09,2.6619999408721924,0.8108780839595607,-1
2021-03-10,2.691999912261963,0.8008784953502253,-1
2021-03-11,2.6679999828338623,0.8450977231157635,-1
2021-03-12,2.5999999046325684,0.7983105815507442,-1
2021-03-15,2.4839999675750732,0.6759359949871125,-1
2021-03-16,2.562000036239624,0.46497441917293075,-1
2021-03-17,2.5280001163482666,0.5993114765861269,-1
2021-03-18,2.4809999465942383,0.5331715617439732,-1
2021-03-19,2.5350000858306885,0.44204456451360635,-1
2021-03-22,2.5820000171661377,0.5342856656841178,-1
2021-03-23,2.507999897003174,0.6121976586090739,-1
2021-03-24,2.5179998874664307,0.4726281914499771,-1
2021-03-25,2.569999933242798,0.4851017555255553,-1
2021-03-26,2.556999921798706,0.5737584793614919,-1
2021-03-29,2.5859999656677246,0.5441712210312161,-1
2021-03-30,2.622999906539917,0.5907171953356855,-1
2021-03-31,2.6080000400543213,0.6511289403647335,-1
2021-04-01,2.6389999389648438,0.6180499526022992,-1
2021-04-05,2.510999917984009,0.667695241222289,-1
2021-04-06,2.4560000896453857,0.4255464991828146,-1
2021-04-07,2.5199999809265137,0.3136015900847947,-1
2021-04-08,2.5220000743865967,0.43139808859413714,-1
2021-04-09,2.5260000228881836,0.4301118425668201,-1
2021-04-12,2.561000108718872,0.432266202510281,-1
2021-04-13,2.61899995803833,0.49302888177158144,-1
2021-04-14,2.618000030517578,0.5957252154186299,-1
2021-04-15,2.6579999923706055,0.5877649915919531,-1
2021-04-16,2.680000066757202,0.6559545355610066,-1
2021-04-19,2.749000072479248,0.6903137578859267,-1
2021-04-20,2.7269999980926514,0.8093401976271003,-1
2021-04-21,2.691999912261963,0.7631594069988104,-1
2021-04-22,2.749000072479248,0.6928466509718625,-1
2021-04-23,2.7300000190734863,0.7905382313441669,-1
2021-04-26,2.7899999618530273,0.7495785828343626,-1
2021-04-27,2.872999906539917,0.8511786042406732,-1
2021-04-28,2.924999952316284,0.990022953017164,-1
2021-04-29,2.9110000133514404,1.0716705624322098,-1
2021-04-30,2.930999994277954,1.0394218411079093,-1
2021-05-03,2.9660000801086426,1.0652469253631922,-1
2021-05-04,2.9670000076293945,1.1159052475937914,-1
2021-05-05,2.937999963760376,1.108656145502218,-1
2021-05-06,2.927999973297119,1.0513713016511368,-1
2021-05-07,2.9579999446868896,1.0261361881592974,-1
2021-05-10,2.931999921798706,1.0686808076252599,-1
2021-05-11,2.9549999237060547,1.0166958303342435,-1
2021-05-12,2.9690001010894775,1.0478515486417204,-1
2021-05-13,2.9730000495910645,1.0642415083636911,-1
2021-05-14,2.9609999656677246,1.0649818702594571,-1
2021-05-17,3.1089999675750732,1.0378092211008378,-1
2021-05-18,3.01200008392334,1.2787568041679787,-1
2021-05-19,2.9639999866485596,1.1088266874795356,-1
2021-05-20,2.924999952316284,1.0188600072049787,-1
2021-05-21,2.9059998989105225,0.9439537004929692,-1
2021-05-24,2.885999917984009,0.9040829854720861,-1
2021-05-25,2.9130001068115234,0.8620114170606114,-1
2021-05-26,2.9839999675750732,0.9037033251759263,-1
2021-05-27,2.9579999446868896,1.0229094242958114,-1
2021-05-28,2.9860000610351562,0.9698126705947224,-1
2021-06-01,3.1040000915527344,1.0119011458401046,-1
2021-06-02,3.075000047683716,1.208450923762627,-1
2021-06-03,3.0409998893737793,1.1512290265468887,-1
2021-06-04,3.0969998836517334,1.0846117044565835,-1
2021-06-07,3.069999933242798,1.173733581489046,-1
2021-06-08,3.128000020980835,1.1197396049840058,-1
2021-06-09,3.128999948501587,1.2123172443362518,-1
2021-06-10,3.1489999294281006,1.2067129493288047,-1
2021-06-11,3.2960000038146973,1.23354199983352,-1
2021-06-14,3.3519999980926514,1.4708458021008766,-1
2021-06-15,3.240000009536743,1.5534617650988891,-1
2021-06-16,3.250999927520752,1.3626616344277827,-1
2021-06-17,3.253000020980835,1.3776028877066466,-1
2021-06-18,3.2149999141693115,1.3769123606171685,-1
2021-06-21,3.190999984741211,1.3077991172921237,-1
2021-06-22,3.257999897003174,1.2615654701203127,-1
2021-06-23,3.3329999446868896,1.3755264514811556,-1
2021-06-24,3.4179999828338623,1.5026707565351844,-1
2021-06-25,3.496000051498413,1.6466531268677738,-1
2021-06-28,3.617000102996826,1.7845207292308973,-1
2021-06-29,3.630000114440918,1.9916120287045926,-1
2021-06-30,3.6500000953674316,2.0043639073497364,-1
2021-07-01,3.6610000133514404,2.0264397894885646,-1
2021-07-02,3.700000047683716,2.0387058528409443,-1
2021-07-06,3.63700008392334,2.0929231392318606,-1
2021-07-07,3.5959999561309814,1.9753109916139133,-1
2021-07-08,3.687999963760376,1.8929388779366187,-1
2021-07-09,3.6740000247955322,2.034615322424812,-1
2021-07-12,3.749000072479248,2.0015343406489206,-1
2021-07-13,3.696000099182129,2.1132605166604796,-1
2021-07-14,3.6600000858306885,2.018569994910137,-1
2021-07-15,3.614000082015991,1.9520838664544031,-1
2021-07-16,3.6740000247955322,1.8670972697560182,-1
2021-07-19,3.7790000438690186,1.9675519157440458,-1
2021-07-20,3.875999927520752,2.1419768465915334,-1
2021-07-21,3.9590001106262207,2.3050211119341717,-1
2021-07-22,4.002999782562256,2.4383536711440823,-1
2021-07-23,4.059999942779541,2.506025612107115,-1
2021-07-26,4.1020002365112305,2.5829984507075867,-1
2021-07-27,3.9709999561309814,2.6319831480738545,-1
2021-07-28,4.044000148773193,2.4136196636827965,-1
2021-07-29,4.059000015258789,2.5212133358892737,-1
2021-07-30,3.9140000343322754,2.528580336587399,-1
2021-08-02,3.934999942779541,2.278292756560387,-1
2021-08-03,4.0269999504089355,2.308301430613744,-1
2021-08-04,4.1579999923706055,2.4350423354074207,-1
2021-08-05,4.139999866485596,2.61018885675827,-1
2021-08-06,4.139999866485596,2.54495924434348,-1
2021-08-09,4.059999942779541,2.510924127747096,-1
2021-08-10,4.089000225067139,2.352253017790674,-1
2021-08-11,4.059000015258789,2.3699626739894266,-1
2021-08-12,3.933000087738037,2.2955391795880957,-1
2021-08-13,3.8610000610351562,2.0725519708166575,-1
2021-08-16,3.946000099182129,1.936127822220081,-1
2021-08-17,3.8369998931884766,2.051414862696144,-1
2021-08-18,3.8519999980926514,1.8535605829751935,-1
2021-08-19,3.8299999237060547,1.8580294198516536,-1
2021-08-20,3.8510000705718994,1.8026432861626673,-1
2021-08-23,3.944999933242798,1.8185053100446762,-1
2021-08-24,3.8959999084472656,1.9471638114275285,-1
2021-08-25,3.8970000743865967,1.8483399543511507,-1
2021-08-26,4.184000015258789,1.8297247584815035,-1
2021-08-27,4.369999885559082,2.2375176839538318,-1
2021-08-30,4.304999828338623,2.463389171479605,-1
2021-08-31,4.376999855041504,2.3364897619984375,-1
2021-09-01,4.614999771118164,2.3976267043549706,-1
2021-09-02,4.640999794006348,2.6629130824120737,-1
2021-09-03,4.711999893188477,2.6483038087761384,-1
2021-09-07,4.567999839782715,2.6868133583875387,-1
2021-09-08,4.914000034332275,2.468777602284396,-1
2021-09-09,5.031000137329102,2.8264553805531296,-1
2021-09-10,4.938000202178955,2.899042586202824,-1
2021-09-13,5.230999946594238,2.74781187676993,-1
2021-09-14,5.260000228881836,3.0003344311326265,-1
2021-09-15,5.460000038146973,2.9700405249287694,-1
2021-09-16,5.335000038146973,3.0980668908519227,-1
2021-09-17,5.105000019073486,2.9218158610539917,-1
2021-09-20,4.985000133514404,2.660604051261197,-1
2021-09-21,4.804999828338623,2.509522708828317,-1
2021-09-22,4.804999828338623,2.3094758725165025,-1
2021-09-23,4.97599983215332,2.296590806913897,-1
2021-09-24,5.139999866485596,2.444851327973153,-1
2021-09-27,5.705999851226807,2.570878496776768,-1
2021-09-28,5.841000080108643,3.039269095808742,-1
2021-09-29,5.4770002365112305,3.097370729487223,-1
2021-09-30,5.867000102996826,2.7303733560810035,-1
2021-10-01,5.61899995803833,2.997915875645133,-1
2021-10-04,5.765999794006348,2.740784506980447,-1
2021-10-05,6.311999797821045,2.8086665813833673,-1
2021-10-06,5.675000190734863,3.152104957267574,-1
2021-10-07,5.677000045776367,2.6221749651570168,-1
2021-10-08,5.565000057220459,2.5788908829541017,-1
2021-10-11,5.34499979019165,2.450686660664098,-1
2021-10-12,5.505000114440918,2.240866398617852,-1
2021-10-13,5.590000152587891,2.3332674594947753,-1
2021-10-14,5.686999797821045,2.3621738632335543,-1
2021-10-15,5.409999847412109,2.397892542055462,-1
2021-10-18,4.988999843597412,2.157366662325037,-1
2021-10-19,5.0879998207092285,1.7984147101469408,-1
2021-10-20,5.170000076293945,1.8586896239223591,-1
2021-10-21,5.114999771118164,1.9022226798548532,-1
2021-10-22,5.28000020980835,1.83754072585281,-1
2021-10-25,5.8979997634887695,1.9434959191388743,-1
2021-10-26,5.881999969482422,2.3547579307184723,-1
2021-10-27,6.202000141143799,2.308772301628786,-1
2021-10-28,5.7820000648498535,2.4769628963510497,-1
2021-10-29,5.426000118255615,2.172071658068181,-1
2021-11-01,5.185999870300293,1.9040005653722405,-1
2021-11-02,5.541999816894531,1.7130256223771028,-1
2021-11-03,5.670000076293945,1.9441763589309171,-1
2021-11-04,5.716000080108643,2.005673426892786,-1
2021-11-05,5.515999794006348,2.0107111346696303,-1
2021-11-08,5.427000045776367,1.8561312661080882,-1
2021-11-09,4.979000091552734,1.776165999652019,-1
2021-11-10,4.880000114440918,1.444765085566615,-1
2021-11-11,5.14900016784668,1.3590774320465826,-1
2021-11-12,4.790999889373779,1.5413023600168665,-1
2021-11-15,5.017000198364258,1.2676545276017424,-1
2021-11-16,5.177000045776367,1.422837028428257,-1
2021-11-17,4.815999984741211,1.5223650281844565,-1
2021-11-18,4.9019999504089355,1.2504407390879257,-1
2021-11-19,5.065000057220459,1.3031891284650998,-1
2021-11-22,4.789000034332275,1.408641773735681,-1
2021-11-23,4.9670000076293945,1.1972957808947813,-1
2021-11-24,5.067999839782715,1.3170467770672725,-1
2021-11-26,5.447000026702881,1.3770214346167764,-1
2021-11-29,4.854000091552734,1.6186041817000596,-1
2021-11-30,4.566999912261963,1.1985347520645275,-1
2021-12-01,4.257999897003174,0.9745270191900057,-1
2021-12-02,4.056000232696533,0.7203069458126666,-1
2021-12-03,4.131999969482422,0.5429140320512177,-1
2021-12-06,3.6570000648498535,0.6029844141162085,-1
2021-12-07,3.7079999446868896,0.163984873100611,-1
2021-12-08,3.815000057220459,0.20796326185929684,-1
2021-12-09,3.813999891281128,0.30421468854425526,-1
2021-12-10,3.924999952316284,0.29787295377802747,-1
2021-12-13,3.7939999103546143,0.39597490172540417,-1
2021-12-14,3.746999979019165,0.26857706231203005,-1
2021-12-15,3.802000045776367,0.21907538363944556,-1
2021-12-16,3.7660000324249268,0.2673709102117359,-1
2021-12-17,3.690000057220459,0.2283383587537399,-1
2021-12-20,3.8340001106262207,0.14963167099934974,-1
2021-12-21,3.86899995803833,0.28468709455740315,-1
2021-12-22,3.9760000705718994,0.31325321053655864,-1
2021-12-23,3.7309999465942383,0.40842584757365125,-1
2021-12-27,4.059999942779541,0.17056926789562615,-1
2021-12-28,4.054999828338623,0.4754207730037167,-1
2021-12-29,4.02400016784668,0.46483874404108394,-1
2021-12-30,3.561000108718872,0.4307128491201382,-1
2021-12-31,3.7300000190734863,-0.02916669621800601,0
2022-01-03,3.815000057220459,0.13857202307856684,0
2022-01-04,3.7170000076293945,0.21775542974014322,0
2022-01-05,3.881999969482422,0.11557265908123052,0
2022-01-06,3.812000036239624,0.27425225288479077,0
2022-01-07,3.9159998893737793,0.2010677005057215,0
2022-01-10,4.078999996185303,0.29787944966000274,0
2022-01-11,4.249000072479248,0.447193030611272,0
2022-01-12,4.85699987411499,0.5964626413644525,0
2022-01-13,4.269999980926514,1.0959018864816872,0
2022-01-14,4.26200008392334,0.6006228477314243,0
2022-01-18,4.2829999923706055,0.5877908147726526,0
2022-01-19,4.031000137329102,0.6005160893514855,0
2022-01-20,3.802000045776367,0.3628276492275579,0
2022-01-21,3.999000072479248,0.13237467880443518,0
2022-01-24,4.0269999504089355,0.3212099240149947,0
2022-01-25,4.052999973297119,0.3426930055586184,0
2022-01-26,4.2769999504089355,0.3622823490827197,0
2022-01-27,6.264999866485596,0.5664087519260579,0
2022-01-28,4.638999938964844,2.0345386048268277,-1
2022-01-31,4.874000072479248,0.8594103572959056,-1
2022-02-01,4.750999927520752,1.0437401433221831,-1
