date,no_tilt,hth_original,hth_tau_aware
2025-07-16,115539.29166268575,115786.04842609988,116906.72179560534
2025-07-17,115864.66670270974,115842.67333143442,117217.30190278111
2025-07-18,115562.52455123262,116040.37464912781,116814.80243473467
2025-07-21,115846.35815401384,116968.051113527,117067.14902491508
2025-07-22,116892.55081984978,117616.33245800353,118370.3289185335
2025-07-23,116415.49608716938,117082.31374025016,117700.10786930977
2025-07-24,116141.25265328708,116699.66386994788,117370.85007790875
2025-07-25,115827.14340301754,116252.35127718966,116924.32508162408
2025-07-28,115790.05997337619,115890.16525634614,116880.33248201928
2025-07-29,115938.77814953726,116181.23505677325,117030.96102814186
2025-07-30,115718.13944741807,115718.74345683165,116777.88609218202
2025-07-31,114977.28230617031,115560.23472382074,115872.56100250343
2025-08-01,114070.2736131557,115887.2905085945,114914.52291536814
2025-08-04,115367.91910688372,116950.68299110657,116267.84098549737
2025-08-05,114985.62516265736,116912.95186939402,115840.4162989481
2025-08-06,115412.42457443413,117063.28588976235,116309.46745760714
2025-08-07,116278.8056572811,117380.45644326223,117421.86870728304
2025-08-08,116637.59642574632,118373.6254101939,117669.53026166164
2025-08-11,116525.62582201835,116806.40526686716,117700.68230808686
2025-08-12,117211.89891304943,117040.12977184157,118450.64844480477
2025-08-13,118366.13345007582,117365.37302617419,119864.55499831671
2025-08-14,116730.29783590259,116941.22997982381,117770.41829011518
2025-08-15,116289.66774334089,116786.06617179445,117278.75917715205
2025-08-18,115917.57048677024,116713.65786190484,116799.64217498271
2025-08-19,114603.48025095236,116238.72058385072,115194.9574513278
2025-08-20,115206.42725918427,116693.16928100029,115964.91749704359
2025-08-21,114477.91953988225,116456.95300354123,115088.19104284144
2025-08-22,116626.84350798574,117642.40792784026,117561.09264670794
2025-08-25,114513.9872671651,117546.59663693937,114853.5638362548
2025-08-26,115277.10366221733,117940.57353716038,115753.57842153122
2025-08-27,115308.10621994965,118316.31460580148,115721.87882502
2025-08-28,116064.70644641084,118939.49373550425,116587.85207585589
2025-08-29,114864.41664708902,119418.89858318404,115084.59434045503
2025-09-02,116134.40082400398,120532.21439446864,116702.18017307202
2025-09-03,116880.44252242339,121563.68396959461,117467.60072712477
2025-09-04,116709.9605478149,121471.37534867159,117111.00573066864
2025-09-05,116984.43327108608,122229.44634435643,117418.89460726402
2025-09-08,117756.45514563548,122805.6489247152,118309.42455298593
2025-09-09,117726.02576418483,123006.24827144461,118361.76740479942
2025-09-10,118644.33241440415,123170.59509642734,119004.53702538209
2025-09-11,119380.8233395557,123381.20874323975,119551.0976077289
2025-09-12,119645.98870228136,123582.11097472759,119787.73114735684
2025-09-15,119874.05142519766,124347.23792124673,120201.24607461119
2025-09-16,120250.45014297012,124342.28679317904,120434.76568180961
2025-09-17,120057.42803704145,124194.70655587985,120261.17027774527
2025-09-18,120134.91414556486,123708.46377921554,120146.21127080666
2025-09-19,120118.41076696191,124426.04252587601,120390.21220501474
2025-09-22,119860.56815995333,125772.9101263018,120695.83831617229
2025-09-23,119765.76851936408,126287.3923961158,120807.72617765758
2025-09-24,119763.96380532686,125383.31815402648,120496.1040569975
2025-09-25,118352.30080254204,125371.45188671273,119593.67257865195
2025-09-26,119026.01938430846,126224.16575898475,120318.12105449986
2025-09-29,121029.66640226182,127158.686111517,121917.61480464351
2025-09-30,121184.05215059992,127626.9060257287,122179.05213204504
2025-10-01,122995.42511708826,128242.78898019296,123545.58211373525
2025-10-02,123493.41194569287,127846.4252084459,123726.69547417497
2025-10-03,124268.68430192243,128525.15611607065,124450.69638533218
2025-10-06,125705.34569404002,129859.4567721848,125824.11172967232
2025-10-07,124884.62952547605,130303.01580801357,125458.49996853183
2025-10-08,126244.08424807193,131731.3658003417,126818.44775203207
2025-10-09,124968.93153756595,130044.36592491975,125428.9007545897
2025-10-10,121562.778328083,129455.79233042276,123043.2374274799
2025-10-13,123829.2320225632,132401.7125115011,125507.39440024464
2025-10-14,123290.31165220741,132838.18826108985,125309.03231359183
