credit,rate,target,tau_past,tau_future,q,n_joint,cpe,lift,n_episodes,episode_hit_rate,episode_years,reliable_n>=3
HYG,TLT,QQQ,63,126,0.2,256,0.4979757085020243,0.9959514170040485,10,0.1,"[[2009], [2013], [2015], [2016], [2018], [2018], [2020], [2021], [2021, 2022], [2023]]",True
HYG,TLT,QQQ,63,252,0.05,37,0.35294117647058826,0.7059932361257416,2,0.0,"[[2009], [2022]]",False
HYG,TLT,QQQ,63,252,0.1,110,0.5754716981132075,1.1511241916075377,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,QQQ,63,252,0.2,256,0.4897959183673469,0.9797457154398046,7,0.2857142857142857,"[[2013], [2015], [2016], [2018], [2018], [2021, 2022], [2023]]",True
HYG,TLT,QQQ,126,21,0.05,43,0.43902439024390244,0.8780487804878049,1,0.0,[[2022]],False
HYG,TLT,QQQ,126,21,0.1,100,0.5773195876288659,1.1546391752577319,1,1.0,[[2022]],False
HYG,TLT,QQQ,126,21,0.2,222,0.5852534562211982,1.1705069124423964,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,QQQ,126,63,0.05,43,0.47619047619047616,0.9525263984640894,1,0.0,[[2022]],False
HYG,TLT,QQQ,126,63,0.1,100,0.6597938144329897,1.3197891541605526,1,1.0,[[2022]],False
HYG,TLT,QQQ,126,63,0.2,222,0.6325581395348837,1.265309485587646,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,QQQ,126,126,0.05,43,0.9523809523809523,1.9047619047619047,1,0.0,[[2022]],False
HYG,TLT,QQQ,126,126,0.1,100,0.8673469387755102,1.7346938775510203,1,0.0,[[2022]],False
HYG,TLT,QQQ,126,126,0.2,222,0.7083333333333334,1.4166666666666667,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,QQQ,126,252,0.05,43,0.9512195121951219,1.9027378680949862,1,0.0,[[2022]],False
HYG,TLT,QQQ,126,252,0.1,100,0.8617021276595744,1.723674975434656,1,0.0,[[2022]],False
HYG,TLT,QQQ,126,252,0.2,222,0.6995305164319249,1.39928080368271,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,QQQ,252,21,0.05,44,0.46511627906976744,0.9302325581395349,1,1.0,[[2022]],False
HYG,TLT,QQQ,252,21,0.1,150,0.6275862068965518,1.2551724137931035,1,0.0,[[2022]],False
HYG,TLT,QQQ,252,21,0.2,252,0.6311475409836066,1.2622950819672132,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,QQQ,252,63,0.05,44,0.4186046511627907,0.83733715958006,1,1.0,[[2022]],False
HYG,TLT,QQQ,252,63,0.1,150,0.7103448275862069,1.4209066206053969,1,0.0,[[2022]],False
HYG,TLT,QQQ,252,63,0.2,252,0.5967078189300411,1.1935978943716674,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,QQQ,252,126,0.05,44,0.7045454545454546,1.4090909090909092,1,0.0,[[2022]],False
HYG,TLT,QQQ,252,126,0.1,150,0.7361111111111112,1.4722222222222223,1,0.0,[[2022]],False
HYG,TLT,QQQ,252,126,0.2,252,0.6487603305785123,1.2975206611570247,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,QQQ,252,252,0.05,44,0.5952380952380952,1.1906631958469847,1,0.0,[[2022]],False
HYG,TLT,QQQ,252,252,0.1,150,0.6619718309859155,1.324151633015182,1,0.0,[[2022]],False
HYG,TLT,QQQ,252,252,0.2,252,0.6,1.2001885014137605,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,IWM,21,21,0.05,20,0.42105263157894735,0.8421052631578947,7,0.2857142857142857,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,IWM,21,21,0.1,100,0.5567010309278351,1.1134020618556701,12,0.25,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
HYG,TLT,IWM,21,21,0.2,318,0.5209003215434084,1.0418006430868167,28,0.35714285714285715,"[[2007], [2008], [2008], [2008], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025], [2025], [2026]]",True
HYG,TLT,IWM,21,63,0.05,20,0.1,0.2,7,0.14285714285714285,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,IWM,21,63,0.1,100,0.40625,0.8125,9,0.3333333333333333,"[[2008], [2013], [2015], [2018], [2022], [2022], [2022, 2023], [2023], [2025]]",True
HYG,TLT,IWM,21,63,0.2,318,0.46204620462046203,0.9240924092409241,27,0.4444444444444444,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2024], [2024], [2024], [2025], [2026]]",True
HYG,TLT,IWM,21,126,0.05,20,0.3,0.600097055968942,7,0.14285714285714285,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,IWM,21,126,0.1,100,0.4270833333333333,0.8543048366224522,12,0.25,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
HYG,TLT,IWM,21,126,0.2,318,0.5119453924914675,1.024056409503314,29,0.4482758620689655,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025], [2025]]",True
HYG,TLT,IWM,21,252,0.05,20,0.1111111111111111,0.2222588442100637,6,0.16666666666666666,"[[2009], [2013], [2013], [2016], [2022], [2023]]",True
HYG,TLT,IWM,21,252,0.1,100,0.40425531914893614,0.8086438799983169,11,0.2727272727272727,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2025]]",True
HYG,TLT,IWM,21,252,0.2,318,0.5189003436426117,1.037971715743906,28,0.4642857142857143,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025]]",True
HYG,TLT,IWM,63,21,0.05,37,0.2,0.4,2,0.0,"[[2009], [2022]]",False
HYG,TLT,IWM,63,21,0.1,110,0.45794392523364486,0.9158878504672897,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,IWM,63,21,0.2,256,0.5020080321285141,1.0040160642570282,10,0.5,"[[2009], [2013], [2015], [2016], [2018], [2018], [2020], [2021], [2021, 2022], [2023]]",True
HYG,TLT,IWM,63,63,0.05,37,0.2777777777777778,0.5555555555555556,2,0.0,"[[2009], [2022]]",False
HYG,TLT,IWM,63,63,0.1,110,0.49038461538461536,0.9807692307692307,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,IWM,63,63,0.2,256,0.4567901234567901,0.9135802469135802,8,0.375,"[[2009], [2013], [2015], [2018], [2018], [2020], [2021], [2023]]",True
HYG,TLT,IWM,63,126,0.05,37,0.2857142857142857,0.5715210056847067,2,0.0,"[[2009], [2022]]",False
HYG,TLT,IWM,63,126,0.1,110,0.5327102803738317,1.0655929031224203,3,0.3333333333333333,"[[2009], [2013], [2022]]",True
HYG,TLT,IWM,63,126,0.2,256,0.4331983805668016,0.8665369094288367,10,0.4,"[[2009], [2013], [2015], [2016], [2018], [2018], [2020], [2021], [2021, 2022], [2023]]",True
HYG,TLT,IWM,63,252,0.05,37,0.35294117647058826,0.7059986816084377,2,0.0,"[[2009], [2022]]",False
HYG,TLT,IWM,63,252,0.1,110,0.5471698113207547,1.094519968657106,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,IWM,63,252,0.2,256,0.5224489795918368,1.0450701572652792,7,0.5714285714285714,"[[2013], [2015], [2016], [2018], [2018], [2021, 2022], [2023]]",True
HYG,TLT,IWM,126,21,0.05,43,0.34146341463414637,0.6829268292682927,1,0.0,[[2022]],False
HYG,TLT,IWM,126,21,0.1,100,0.4742268041237113,0.9484536082474226,1,0.0,[[2022]],False
HYG,TLT,IWM,126,21,0.2,222,0.5483870967741935,1.096774193548387,5,0.6,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,IWM,126,63,0.05,43,0.40476190476190477,0.8095238095238095,1,0.0,[[2022]],False
HYG,TLT,IWM,126,63,0.1,100,0.5463917525773195,1.092783505154639,1,0.0,[[2022]],False
HYG,TLT,IWM,126,63,0.2,222,0.5488372093023256,1.0976744186046512,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,IWM,126,126,0.05,43,0.5714285714285714,1.1430420113694133,1,0.0,[[2022]],False
HYG,TLT,IWM,126,126,0.1,100,0.6530612244897959,1.3063337272793296,1,0.0,[[2022]],False
HYG,TLT,IWM,126,126,0.2,222,0.6944444444444444,1.3891135554836622,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,IWM,126,252,0.05,43,0.6097560975609756,1.2197131694454715,1,0.0,[[2022]],False
HYG,TLT,IWM,126,252,0.1,100,0.723404255319149,1.447046943154883,1,1.0,[[2022]],False
HYG,TLT,IWM,126,252,0.2,222,0.7511737089201878,1.5025950031102897,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,IWM,252,21,0.05,44,0.3488372093023256,0.6976744186046512,1,0.0,[[2022]],False
HYG,TLT,IWM,252,21,0.1,150,0.5310344827586206,1.0620689655172413,1,0.0,[[2022]],False
HYG,TLT,IWM,252,21,0.2,252,0.610655737704918,1.221311475409836,2,1.0,"[[2015], [2022, 2023]]",False
HYG,TLT,IWM,252,63,0.05,44,0.11627906976744186,0.23255813953488372,1,0.0,[[2022]],False
HYG,TLT,IWM,252,63,0.1,150,0.5862068965517241,1.1724137931034482,1,0.0,[[2022]],False
HYG,TLT,IWM,252,63,0.2,252,0.5843621399176955,1.168724279835391,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,IWM,252,126,0.05,44,0.2727272727272727,0.5455427781535837,1,0.0,[[2022]],False
HYG,TLT,IWM,252,126,0.1,150,0.6527777777777778,1.3057667421546424,1,1.0,[[2022]],False
HYG,TLT,IWM,252,126,0.2,252,0.7396694214876033,1.479578140749871,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,IWM,252,252,0.05,44,0.5,1.0001647989452866,1,0.0,[[2022]],False
HYG,TLT,IWM,252,252,0.1,150,0.7394366197183099,1.4791169561866917,1,0.0,[[2022]],False
HYG,TLT,IWM,252,252,0.2,252,0.7583333333333333,1.5169166117336847,2,0.0,"[[2015], [2022, 2023]]",False
HYG,TLT,DIA,21,21,0.05,20,0.3684210526315789,0.7369494853426191,7,0.2857142857142857,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,DIA,21,21,0.1,100,0.5773195876288659,1.1548074409492588,12,0.3333333333333333,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
HYG,TLT,DIA,21,21,0.2,318,0.5305466237942122,1.0612478808218242,28,0.35714285714285715,"[[2007], [2008], [2008], [2008], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025], [2025], [2026]]",True
HYG,TLT,DIA,21,63,0.05,20,0.05,0.10001465416178196,7,0.14285714285714285,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,DIA,21,63,0.1,100,0.4479166666666667,0.8959646101992966,9,0.3333333333333333,"[[2008], [2013], [2015], [2018], [2022], [2022], [2022, 2023], [2023], [2025]]",True
HYG,TLT,DIA,21,63,0.2,318,0.48514851485148514,0.9704392185994684,27,0.37037037037037035,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2024], [2024], [2024], [2025], [2026]]",True
HYG,TLT,DIA,21,126,0.05,20,0.25,0.5000739863865049,7,0.14285714285714285,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,DIA,21,126,0.1,100,0.3541666666666667,0.708438147380882,12,0.25,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
