Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1996-02-15,38.7331428527832,65.203125,65.90625,65.125,65.46875,889500
1996-02-16,38.57535934448242,64.9375,65.234375,64.734375,65.078125,606100
1996-02-20,38.194801330566406,64.296875,64.625,63.875,64.4375,492300
1996-02-21,38.668182373046875,65.09375,65.140625,64.421875,64.421875,434000
1996-02-22,39.28077697753906,66.125,66.328125,65.40625,65.453125,721400
1996-02-23,39.169403076171875,65.9375,66.609375,65.328125,66.5,1430400
1996-02-26,38.61249923706055,65.0,65.890625,64.96875,65.75,1408400
1996-02-27,38.491817474365234,64.796875,65.171875,64.5,65.15625,601000
1996-02-28,38.31547164916992,64.5,65.734375,64.5,65.3125,865900
1996-02-29,37.94419860839844,63.875,64.953125,63.875,64.125,914300
1996-03-01,38.547508239746094,64.890625,64.890625,63.609375,64.640625,1452600
1996-03-04,38.770263671875,65.265625,65.65625,64.8125,65.03125,652600
1996-03-05,39.13227081298828,65.875,65.875,65.078125,65.109375,402000
1996-03-06,38.78882598876953,65.296875,65.96875,65.296875,65.78125,624700
1996-03-07,38.98374557495117,65.625,65.65625,65.234375,65.421875,534200
1996-03-08,37.72142791748047,63.5,64.875,62.0,64.1875,2289900
1996-03-11,38.157676696777344,64.234375,64.328125,63.0625,63.25,1511400
1996-03-12,37.86065673828125,63.734375,64.046875,62.90625,63.8125,1385300
1996-03-13,38.12055587768555,64.171875,64.4375,63.796875,64.15625,1019300
1996-03-14,38.287628173828125,64.453125,64.8125,64.234375,64.265625,725600
1996-03-15,38.26189041137695,64.125,64.328125,63.75,64.0625,869200
1996-03-18,38.998416900634766,65.359375,65.359375,64.578125,64.71875,917600
1996-03-19,38.91450119018555,65.21875,65.9375,65.0,65.9375,858300
1996-03-20,38.86787796020508,65.140625,65.53125,64.640625,65.53125,744300
1996-03-21,38.77467346191406,64.984375,65.25,64.765625,65.21875,650800
1996-03-22,38.877220153808594,65.15625,65.328125,64.9375,65.015625,344500
1996-03-25,38.802635192871094,65.03125,65.8125,64.859375,65.75,802400
1996-03-26,38.98908615112305,65.34375,65.515625,64.859375,64.921875,969400
1996-03-27,38.63481140136719,64.75,65.484375,64.6875,65.4375,809600
1996-03-28,38.78398513793945,65.0,65.03125,64.5,64.515625,1001300
1996-03-29,38.59752655029297,64.6875,65.1875,64.375,65.1875,457700
1996-04-01,39.045040130615234,65.4375,65.453125,64.796875,65.0,773400
1996-04-02,39.119625091552734,65.5625,65.5625,65.296875,65.515625,638800
1996-04-03,39.119625091552734,65.5625,65.609375,65.171875,65.328125,288000
1996-04-04,39.091636657714844,65.515625,65.71875,65.5,65.5625,934900
1996-04-08,38.4203987121582,64.390625,64.390625,63.59375,63.875,2217200
1996-04-09,38.271202087402344,64.140625,64.640625,64.015625,64.640625,1180900
1996-04-10,37.59062957763672,63.0,64.3125,62.75,64.03125,939500
1996-04-11,37.54401397705078,62.921875,63.46875,62.125,63.15625,1276000
1996-04-12,38.01947784423828,63.71875,63.8125,63.171875,63.359375,411300
1996-04-15,38.336483001708984,64.25,64.328125,63.84375,64.046875,484200
1996-04-16,38.4483642578125,64.4375,64.65625,64.234375,64.375,429700
1996-04-17,38.35511779785156,64.28125,64.5625,63.84375,64.375,525300
1996-04-18,38.41107177734375,64.375,64.578125,64.09375,64.4375,818600
1996-04-19,38.50429916381836,64.53125,64.859375,64.421875,64.6875,885100
1996-04-22,38.802635192871094,65.03125,65.28125,64.59375,65.125,828900
1996-04-23,38.923831939697266,65.234375,65.28125,64.78125,64.921875,225400
1996-04-24,38.78398513793945,65.0,65.5625,64.859375,65.5625,699000
1996-04-25,38.96112823486328,65.296875,65.5625,64.75,65.140625,475500
1996-04-26,39.045040130615234,65.4375,65.8125,65.234375,65.46875,563300
1996-04-29,39.045040130615234,65.4375,65.5625,65.15625,65.15625,219900
1996-04-30,39.01705551147461,65.390625,65.5625,65.125,65.4375,184400
1996-05-01,39.10096740722656,65.53125,65.796875,65.28125,65.375,561900
1996-05-02,38.42970657348633,64.40625,65.375,64.09375,65.015625,1299600
1996-05-03,38.3737678527832,64.3125,64.984375,63.75,64.78125,1329300
1996-05-06,38.336483001708984,64.25,64.5625,63.6875,64.5625,647500
1996-05-07,38.17799758911133,63.984375,64.25,63.765625,64.25,582100
1996-05-08,38.6534538269043,64.78125,64.78125,63.078125,63.671875,1694700
1996-05-09,38.62549591064453,64.734375,65.0625,64.5,64.5625,593400
1996-05-10,39.007728576660156,65.375,65.59375,65.0625,65.375,925100
1996-05-13,39.59507369995117,66.359375,66.640625,65.46875,65.53125,867500
1996-05-14,39.837493896484375,66.765625,66.9375,66.5625,66.625,632300
1996-05-15,39.79088592529297,66.6875,67.3125,66.640625,66.78125,466100
1996-05-16,39.8747673034668,66.828125,66.9375,66.28125,66.3125,514400
1996-05-17,40.089210510253906,67.1875,67.296875,67.0,67.0,427700
1996-05-20,40.35957336425781,67.640625,67.75,66.984375,67.65625,788500
1996-05-21,40.303653717041016,67.546875,67.875,67.5,67.75,352700
1996-05-22,40.68588638305664,68.1875,68.1875,67.390625,67.625,1218100
1996-05-23,40.5180778503418,67.90625,68.4375,67.53125,68.28125,967900
1996-05-24,40.676551818847656,68.171875,68.328125,67.9375,67.96875,659100
1996-05-28,40.266334533691406,67.484375,68.375,67.3125,68.375,456400
1996-05-29,39.995967864990234,67.03125,67.6875,66.8125,67.625,649600
1996-05-30,40.201087951660156,67.375,67.71875,66.75,66.9375,895800
1996-05-31,39.90277099609375,66.875,67.640625,66.875,67.359375,923500
1996-06-03,40.01463317871094,67.0625,67.109375,66.703125,66.890625,503100
1996-06-04,40.29430389404297,67.53125,67.59375,67.25,67.375,627100
1996-06-05,40.64859390258789,68.125,68.203125,67.421875,67.5625,428000
1996-06-06,40.35026168823242,67.625,68.5,67.5,68.5,523300
1996-06-07,40.35026168823242,67.625,67.640625,66.1875,66.1875,1422800
1996-06-10,40.219730377197266,67.40625,67.734375,67.296875,67.53125,548800
1996-06-11,40.18244934082031,67.34375,68.03125,67.34375,67.65625,688700
1996-06-12,40.107845306396484,67.21875,67.734375,67.109375,67.5625,1120600
1996-06-13,40.107845306396484,67.21875,67.46875,66.828125,67.375,1502000
1996-06-14,39.940040588378906,66.9375,67.25,66.71875,67.25,1468200
1996-06-17,39.91206359863281,66.890625,67.21875,66.71875,66.96875,1101000
1996-06-18,39.58576202392578,66.34375,67.03125,66.328125,66.84375,718000
1996-06-19,39.76289367675781,66.640625,67.0,66.421875,66.65625,552100
1996-06-20,39.73495101928711,66.59375,66.921875,66.1875,66.703125,1234400
1996-06-21,40.07669448852539,66.8125,66.8125,66.375,66.5625,573300
1996-06-24,40.15166473388672,66.9375,67.21875,66.84375,66.96875,416500
1996-06-25,40.10481262207031,66.859375,67.171875,66.78125,67.125,454400
1996-06-26,39.8329963684082,66.40625,66.921875,66.390625,66.78125,838200
1996-06-27,40.11419677734375,66.875,67.046875,66.15625,66.40625,1090500
1996-06-28,40.25478744506836,67.109375,67.5,66.96875,67.15625,1060800
1996-07-01,40.6015510559082,67.6875,67.703125,67.1875,67.28125,471300
1996-07-02,40.451595306396484,67.4375,67.640625,67.328125,67.625,389400
1996-07-03,40.36724090576172,67.296875,67.5,67.0625,67.40625,308300
1996-07-05,39.336299896240234,65.578125,66.4375,65.375,66.125,842900
1996-07-08,39.176944732666016,65.3125,65.984375,65.125,65.625,942000
1996-07-09,39.336299896240234,65.578125,65.8125,65.375,65.609375,716300
1996-07-10,39.49560546875,65.84375,65.84375,64.921875,65.5625,1132300
1996-07-11,38.698944091796875,64.515625,65.6875,63.875,65.5625,1587400
1996-07-12,38.72707748413086,64.5625,64.90625,64.078125,64.625,1312000
1996-07-15,37.583614349365234,62.65625,64.71875,62.65625,64.71875,1951300
1996-07-16,37.677337646484375,62.8125,63.5,60.375,62.84375,4141000
1996-07-17,38.127227783203125,63.5625,64.0,63.0,63.75,1340500
1996-07-18,38.65208435058594,64.4375,64.546875,63.328125,63.75,1432500
1996-07-19,38.370906829833984,63.96875,64.375,63.625,64.28125,1216000
1996-07-22,38.089752197265625,63.5,63.75,63.015625,63.53125,519800
1996-07-23,37.60236740112305,62.6875,63.9375,62.578125,63.59375,1479800
1996-07-24,37.677337646484375,62.8125,63.1875,61.625,61.9375,2463400
1996-07-25,38.0147590637207,63.375,63.5625,63.125,63.4375,1989800
1996-07-26,38.220943450927734,63.71875,63.8125,63.390625,63.5625,642300
1996-07-29,37.79918670654297,63.015625,63.71875,62.9375,63.625,1297900
1996-07-30,38.164703369140625,63.625,63.6875,62.9375,63.4375,1868200
1996-07-31,38.445884704589844,64.09375,64.265625,63.515625,63.671875,767100
1996-08-01,39.08321762084961,65.15625,65.390625,64.0625,64.15625,1168600
1996-08-02,39.9267463684082,66.5625,66.59375,65.75,66.0,1098500
1996-08-05,39.69242477416992,66.171875,66.59375,65.96875,66.578125,710200
1996-08-06,39.81425857543945,66.375,66.515625,65.796875,66.15625,640000
1996-08-07,39.91736602783203,66.546875,66.75,66.125,66.625,917800
1996-08-08,39.85175323486328,66.4375,66.5625,66.1875,66.5625,925100
1996-08-09,39.72052764892578,66.21875,66.765625,66.0625,66.671875,648800
1996-08-12,40.011077880859375,66.703125,66.859375,66.0,66.25,764200
1996-08-13,39.69242477416992,66.171875,66.625,66.0,66.578125,805200
1996-08-14,39.8329963684082,66.40625,66.46875,66.0,66.1875,533800
1996-08-15,39.75802993774414,66.28125,66.625,66.203125,66.234375,632600
1996-08-16,40.09545135498047,66.84375,66.875,66.46875,66.46875,475100
1996-08-19,40.11419677734375,66.875,66.921875,66.625,66.859375,436400
1996-08-20,40.086055755615234,66.828125,66.90625,66.671875,66.890625,645700
1996-08-21,39.945491790771484,66.59375,66.8125,66.375,66.65625,266400
1996-08-22,40.32036590576172,67.21875,67.34375,66.71875,66.75,584800
1996-08-23,40.10481262207031,66.859375,67.203125,66.640625,67.09375,757100
1996-08-26,39.907989501953125,66.53125,66.78125,66.421875,66.703125,784700
1996-08-27,40.05795669555664,66.78125,66.84375,66.5,66.71875,389400
1996-08-28,39.99236297607422,66.671875,67.0,66.65625,66.9375,227600
1996-08-29,39.59870529174805,66.015625,66.59375,65.625,66.59375,680200
1996-08-30,39.18629837036133,65.328125,66.015625,65.125,66.0,1500900
1996-09-03,39.43937301635742,65.75,65.84375,64.375,64.46875,1782000
1996-09-04,39.476844787597656,65.8125,66.75,65.484375,65.75,930200
1996-09-05,38.99885940551758,65.015625,65.765625,65.015625,65.5,616600
1996-09-06,39.55183792114258,65.9375,66.171875,65.140625,65.25,804900
1996-09-09,40.020450592041016,66.71875,66.734375,66.078125,66.1875,719200
1996-09-10,40.00171661376953,66.6875,66.90625,66.375,66.625,669900
1996-09-11,40.22665023803711,67.0625,67.125,66.40625,66.5625,713500
1996-09-12,40.5078125,67.53125,67.734375,67.15625,67.25,713300
1996-09-13,41.12641143798828,68.5625,68.625,68.125,68.3125,2008800
1996-09-16,41.276371002197266,68.8125,69.15625,68.5625,68.65625,1220200
1996-09-17,41.182655334472656,68.65625,68.984375,68.234375,68.875,604700
1996-09-18,41.07955551147461,68.484375,68.75,68.21875,68.5625,225500
1996-09-19,41.238887786865234,68.75,68.796875,68.28125,68.375,410000
1996-09-20,41.38517379760742,68.640625,68.78125,68.375,68.59375,948400
1996-09-23,41.375736236572266,68.625,68.75,68.15625,68.46875,466800
1996-09-24,41.366302490234375,68.609375,69.25,68.3125,68.5625,1269800
1996-09-25,41.394588470458984,68.65625,68.9375,68.5,68.9375,1353300
1996-09-26,41.375736236572266,68.625,69.1875,68.390625,68.75,773200
1996-09-27,41.41341781616211,68.6875,68.71875,68.375,68.71875,407600
1996-09-30,41.375736236572266,68.625,69.0625,68.578125,68.78125,578200
1996-10-01,41.601837158203125,69.0,69.046875,68.4375,68.703125,561400
1996-10-02,41.884464263916016,69.46875,69.59375,69.15625,69.25,609000
1996-10-03,41.846778869628906,69.40625,69.53125,69.203125,69.5,342200
1996-10-04,42.41201400756836,70.34375,70.34375,69.5,69.6875,754100
1996-10-07,42.45912170410156,70.421875,70.625,70.25,70.3125,235100
1996-10-08,42.28956985473633,70.140625,70.6875,70.015625,70.453125,386200
1996-10-09,41.95984649658203,69.59375,70.375,69.515625,70.25,528800
1996-10-10,41.87504577636719,69.453125,69.859375,69.375,69.59375,1562200
1996-10-11,42.39316940307617,70.3125,70.3125,69.71875,69.71875,331300
1996-10-14,42.44971466064453,70.40625,70.6875,70.296875,70.3125,201600
1996-10-15,42.39316940307617,70.3125,71.125,69.953125,71.125,776900
1996-10-16,42.60044479370117,70.65625,70.65625,69.9375,70.5,590100
1996-10-17,42.71349334716797,70.84375,71.03125,70.546875,70.875,792500
1996-10-18,42.9395637512207,71.21875,71.3125,70.71875,70.875,695800
1996-10-21,42.88307571411133,71.125,71.625,70.9375,71.28125,879200
1996-10-22,42.58161544799805,70.625,71.078125,70.59375,71.0625,848900
1996-10-23,42.7229118347168,70.859375,70.890625,70.1875,70.46875,735900
1996-10-24,42.35550308227539,70.25,70.984375,70.21875,70.859375,379300
1996-10-25,42.39316940307617,70.3125,70.5625,70.125,70.234375,568300
1996-10-28,42.11055374145508,69.84375,70.734375,69.8125,70.375,975400
1996-10-29,42.44971466064453,70.40625,70.578125,69.703125,70.0625,815900
1996-10-30,42.30839538574219,70.171875,70.625,70.09375,70.625,495400
1996-10-31,42.71349334716797,70.84375,70.875,70.1875,70.265625,726300
1996-11-01,42.56275939941406,70.59375,71.15625,70.265625,70.984375,821300
1996-11-04,42.84538650512695,71.0625,71.0625,70.53125,70.6875,1608400
1996-11-05,43.090301513671875,71.46875,71.796875,71.28125,71.296875,764000
1996-11-06,43.91932678222656,72.84375,72.875,71.53125,71.59375,1665000
1996-11-07,44.02295684814453,73.015625,73.296875,72.53125,72.625,1446300
1996-11-08,44.26789855957031,73.421875,73.4375,72.75,73.03125,1355700
1996-11-11,44.22080612182617,73.34375,73.515625,73.21875,73.25,655900
1996-11-12,44.08890151977539,73.125,73.59375,73.015625,73.546875,719900
1996-11-13,44.28673553466797,73.453125,73.5625,73.015625,73.203125,481900
1996-11-14,44.57878494262695,73.9375,73.9375,73.15625,73.1875,558800
1996-11-15,44.63532638549805,74.03125,74.5,73.71875,74.125,2250900
1996-11-18,44.64470291137695,74.046875,74.25,73.734375,74.171875,1518200
1996-11-19,44.96504211425781,74.578125,74.59375,74.03125,74.140625,1029300
1996-11-20,45.04038619995117,74.703125,75.015625,74.3125,74.5625,730000
1996-11-21,44.97444152832031,74.59375,74.84375,74.375,74.796875,653000
1996-11-22,45.32301330566406,75.171875,75.25,74.703125,74.703125,965100
1996-11-25,45.89766311645508,76.125,76.15625,75.078125,75.25,2058800
1996-11-26,45.74695587158203,75.875,76.6875,75.46875,76.28125,2861800
1996-11-27,45.66217041015625,75.734375,76.1875,75.640625,76.0625,872000
1996-11-29,45.831729888916016,76.015625,76.21875,75.859375,76.0,1073400
1996-12-02,45.850589752197266,76.046875,76.125,75.390625,75.921875,1350600
1996-12-03,45.06865692138672,74.75,76.578125,74.75,76.0625,1777800
1996-12-04,45.19111633300781,74.953125,75.0625,74.09375,74.875,2365100
1996-12-05,45.06865692138672,74.75,75.140625,74.53125,74.84375,1697700
1996-12-06,44.80487060546875,74.3125,74.75,72.65625,73.25,3401800
1996-12-09,45.464317321777344,75.40625,75.421875,74.578125,74.6875,1864600
1996-12-10,45.247657775878906,75.046875,75.671875,74.96875,75.5625,1331600
1996-12-11,44.833126068115234,74.359375,74.625,73.3125,73.625,1847900
1996-12-12,44.08890151977539,73.125,74.875,72.9375,74.78125,2540200
1996-12-13,44.20194625854492,73.3125,73.578125,72.40625,73.0625,1678300
1996-12-16,43.636714935302734,72.375,73.6875,72.0625,73.5,1831100
1996-12-17,43.98528289794922,72.953125,73.28125,71.875,72.15625,2023200
1996-12-18,44.3338623046875,73.53125,73.765625,73.265625,73.375,1666800
1996-12-19,45.247657775878906,75.046875,75.125,73.890625,74.1875,2269300
1996-12-20,45.3469352722168,74.84375,75.71875,74.75,75.125,1543200
1996-12-23,45.233341217041016,74.65625,75.203125,74.328125,75.09375,1263700
1996-12-24,45.5646858215332,75.203125,75.203125,74.796875,74.84375,633000
1996-12-26,45.914981842041016,75.78125,75.828125,75.375,75.4375,1384300
1996-12-27,45.971763610839844,75.875,76.03125,75.5,75.78125,410400
1996-12-30,45.57416534423828,75.21875,76.125,75.15625,76.125,694100
1996-12-31,44.741050720214844,73.84375,75.375,73.84375,75.28125,1378100
1997-01-02,44.854679107666016,74.03125,74.375,72.75,74.375,2031900
1997-01-03,45.49840545654297,75.09375,75.125,74.078125,74.375,2123200
1997-01-06,45.10081100463867,74.4375,75.4375,74.3125,75.09375,1374100
1997-01-07,45.64988327026367,75.34375,75.46875,74.125,74.4375,939000
1997-01-08,45.252262115478516,74.6875,75.78125,74.6875,75.75,1802200
1997-01-09,45.63094711303711,75.3125,75.875,74.9375,75.0625,1415700
1997-01-10,46.12321090698242,76.125,76.25,74.25,74.25,2369500
1997-01-13,46.05697250366211,76.015625,76.5,75.640625,76.5,1364600
1997-01-14,46.63446807861328,76.96875,77.390625,76.5,76.6875,2111200
1997-01-15,46.52085494995117,76.78125,77.203125,76.375,76.71875,1583900
1997-01-16,46.710201263427734,77.09375,77.296875,76.5,77.03125,1308400
1997-01-17,46.99417495727539,77.5625,77.75,77.109375,77.203125,1604000
1997-01-20,47.05099105834961,77.65625,78.09375,77.46875,77.75,1889900
1997-01-21,47.42967224121094,78.28125,78.546875,77.109375,77.375,2785800
1997-01-22,47.770511627197266,78.84375,78.84375,77.875,78.3125,1201600
1997-01-23,47.10780715942383,77.75,79.6875,76.90625,79.0625,2601100
1997-01-24,46.50191879272461,76.75,77.90625,76.75,77.875,2176000
1997-01-27,46.36939239501953,76.53125,77.234375,76.375,76.875,2108500
1997-01-28,46.50191879272461,76.75,77.84375,76.0,77.625,4376000
1997-01-29,46.95634841918945,77.5,77.5,76.59375,76.875,1122700
1997-01-30,47.562232971191406,78.5,78.53125,77.40625,77.875,2126300
1997-01-31,47.50541687011719,78.40625,79.40625,78.375,78.9375,3208100
1997-02-03,47.647422790527344,78.640625,78.890625,78.359375,78.71875,755000
1997-02-04,47.94089126586914,79.125,79.203125,78.4375,78.75,654100
1997-02-05,47.041534423828125,77.640625,79.46875,77.125,79.234375,2255400
1997-02-06,47.35392761230469,78.15625,78.203125,77.40625,77.78125,2483100
1997-02-07,47.997684478759766,79.21875,79.25,77.78125,78.8125,2321000
1997-02-10,47.54326629638672,78.46875,79.53125,78.421875,79.25,1670000
1997-02-11,48.09235763549805,79.375,79.375,78.125,78.78125,1664300
1997-02-12,48.77399444580078,80.5,80.640625,79.265625,79.375,2675400
1997-02-13,49.30415725708008,81.375,81.5625,80.6875,80.8125,1104800
1997-02-14,49.190547943115234,81.1875,81.46875,80.90625,81.1875,1112900
1997-02-18,49.60708999633789,81.875,81.9375,80.75,81.34375,833100
1997-02-19,49.2757453918457,81.328125,82.0,81.15625,81.65625,648100
1997-02-20,48.67934036254883,80.34375,81.359375,80.15625,81.03125,1193900
1997-02-21,48.69824981689453,80.375,80.765625,80.140625,80.40625,1844400
1997-02-24,49.2757453918457,81.328125,81.375,79.96875,79.96875,787300
1997-02-25,49.31361770629883,81.390625,81.53125,80.875,81.40625,1653900
1997-02-26,48.83079528808594,80.59375,81.4375,79.625,81.3125,1597800
1997-02-27,48.10184860229492,79.390625,80.8125,79.375,80.8125,1813100
1997-02-28,47.959842681884766,79.15625,79.875,79.0625,79.25,2961200
1997-03-03,48.2817268371582,79.6875,79.75,78.6875,78.75,1210400
1997-03-04,48.016639709472656,79.25,80.125,79.09375,79.90625,1478700
1997-03-05,48.83079528808594,80.59375,80.59375,79.453125,79.71875,1254800
1997-03-06,48.546783447265625,80.125,80.90625,79.875,80.625,1528500
1997-03-07,48.98227310180664,80.84375,81.15625,80.25,80.4375,1859300
1997-03-10,49.49348068237305,81.6875,81.6875,80.546875,80.9375,1074900
1997-03-11,49.22840881347656,81.25,81.796875,81.25,81.75,624600
1997-03-12,48.79291915893555,80.53125,81.34375,80.296875,81.3125,1055600
1997-03-13,48.03556823730469,79.28125,80.46875,79.0625,80.25,2514100
1997-03-14,48.2817268371582,79.6875,80.03125,79.25,79.640625,1642700
1997-03-17,48.414283752441406,79.90625,80.03125,78.4375,79.25,3013500
1997-03-18,47.893558502197266,79.046875,80.109375,78.71875,80.0,1352500
1997-03-19,47.73262405395508,78.78125,79.5,78.0625,78.84375,1510000
1997-03-20,47.48647689819336,78.375,79.0,77.875,78.75,1808200
1997-03-21,47.706398010253906,78.4375,78.75,78.34375,78.6875,2810600
1997-03-24,48.371604919433594,79.53125,79.578125,78.09375,78.5,2145600
1997-03-25,47.89642333984375,78.75,79.96875,78.53125,79.34375,2125800
1997-03-26,48.10548782348633,79.09375,79.65625,78.6875,79.0625,1335300
1997-03-27,46.83205032348633,77.0,79.375,76.15625,79.375,2898500
1997-03-31,45.843711853027344,75.375,77.125,75.25,76.90625,4270700
1997-04-01,46.13831329345703,75.859375,76.1875,75.046875,75.25,3210900
1997-04-02,45.3115348815918,74.5,75.9375,74.4375,75.625,2672700
1997-04-03,45.55861282348633,74.90625,75.125,74.1875,74.4375,2284200
1997-04-04,46.128822326660156,75.84375,75.859375,74.15625,74.5,3706700
1997-04-07,46.30936050415039,76.140625,76.625,76.140625,76.1875,2596200
1997-04-08,46.641990661621094,76.6875,76.78125,75.84375,76.125,1822700
1997-04-09,46.26185607910156,76.0625,77.046875,75.84375,77.0,2453200
1997-04-10,46.09081268310547,75.78125,76.546875,75.6875,76.09375,1996500
1997-04-11,44.627296447753906,73.375,75.3125,73.375,75.0625,4221600
1997-04-14,45.22599411010742,74.359375,74.453125,73.3125,73.734375,3988500
1997-04-15,45.995765686035156,75.625,75.640625,74.5,75.25,2760400
1997-04-16,46.52793884277344,76.5,76.609375,75.25,75.375,2273300
1997-04-17,46.337890625,76.1875,77.0,76.0,76.5,1386000
1997-04-18,46.56596755981445,76.5625,76.984375,76.25,76.8125,1702100
1997-04-21,46.26185607910156,76.0625,76.90625,75.46875,76.75,2809400
1997-04-22,47.27872085571289,77.734375,77.734375,76.0,76.109375,3215000
1997-04-23,47.32623291015625,77.8125,78.03125,77.1875,77.65625,2047700
1997-04-24,47.08864974975586,77.421875,78.28125,76.875,78.046875,2689900
1997-04-25,46.54695129394531,76.53125,77.203125,76.421875,77.0625,1606200
1997-04-28,47.00310516357422,77.28125,77.8125,76.375,76.5,1666500
1997-04-29,48.485633850097656,79.71875,79.78125,78.296875,78.59375,3197400
1997-04-30,48.713687896728516,80.09375,80.6875,79.21875,79.25,3372200
