,no_tilt_capped,no_tilt_uncapped,spy_bh,static_capped,hth_capped
2025-02-04,102774.35606327196,103005.88369734013,102931.71507863399,102774.35606327196,102774.35606327196
2025-02-05,103103.25780386112,103079.10799496995,103349.06236400199,103103.25780386112,103103.25780386112
2025-02-06,103093.03990440512,103008.43245265588,103708.27440639611,103093.03990440512,103093.03990440512
2025-02-07,102797.58844304875,102827.4804997833,102758.97217229338,102797.58844304875,102797.58844304875
2025-02-10,103513.57895232976,103690.47937400673,103456.81750373892,103513.57895232976,103513.57895232976
2025-02-11,103099.84759499134,103068.9066719408,103535.51031760224,103099.84759499134,103099.84759499134
2025-02-12,103088.08644719006,103453.43512074965,103201.98199978666,103088.08644719006,103088.08644719006
2025-02-13,103541.0740318121,103608.03740664452,104291.52266570154,103541.0740318121,103541.0740318121
2025-02-14,103431.10836230332,103538.17445411168,104286.39651201246,103431.10836230332,103431.10836230332
2025-02-18,103397.91184363878,103327.55525361311,104592.55710021532,103397.91184363878,103397.91184363878
2025-02-19,103609.67257161155,103643.14591563233,104838.86666673017,103609.67257161155,103609.67257161155
2025-02-20,103827.30229886017,104198.02484658813,104402.71995409334,103827.30229886017,103827.30229886017
2025-02-21,103107.70296618133,103257.78303554504,102616.99677931383,103107.70296618133,103107.70296618133
2025-02-24,102320.68779959467,101838.21352280043,102150.04018840939,102320.68779959467,102320.68779959467
2025-02-25,101627.23224692461,100657.2537221751,101642.0320030858,101627.23224692461,101627.23224692461
2025-02-26,101105.13994241679,99452.79979440445,101693.34649610972,101105.13994241679,101105.13994241679
2025-02-27,100371.00136262506,98887.58523595851,100070.12451151933,100371.00136262506,100371.00136262506
2025-02-28,100791.55824709026,98948.68027791678,101631.76910448102,100791.55824709026,100791.55824709026
2025-03-03,100807.43127343709,99506.85177114338,99851.18267461723,100807.43127343709,100807.43127343709
2025-03-04,100404.53468583745,99527.77932657732,98669.27592125926,100404.53468583745,100404.53468583745
2025-03-05,101095.55725582216,100724.7995065229,99729.74367007392,101095.55725582216,101095.55725582216
2025-03-06,100313.36710431172,100040.28632640952,97959.44132126818,100313.36710431172,100313.36710431172
2025-03-07,99787.90036112354,98989.48294350354,98508.49050978427,99787.90036112354,99787.90036112354
2025-03-10,97545.19451439277,95690.0917211894,95884.6517980672,97545.19451439277,97545.19451439277
2025-03-11,98028.94852069198,97038.11243510318,95087.5666730955,98028.94852069198,98028.94852069198
2025-03-12,98475.64485506759,97625.484220654,95592.16448344412,98475.64485506759,98475.64485506759
2025-03-13,98050.95025195596,96935.62038291054,94317.85986896318,98050.95025195596,98050.95025195596
2025-03-14,99239.72966862838,98426.58141166305,96266.08423393178,99239.72966862838,99239.72966862838
2025-03-17,99583.29897370416,98712.36164149239,97008.43389967796,99583.29897370416,99583.29897370416
2025-03-18,99211.9679599937,98289.06238809768,95959.92364572895,99211.9679599937,99211.9679599937
2025-03-19,100451.19304362834,100040.05899820449,97005.00234224975,100451.19304362834,100451.19304362834
2025-03-20,99964.04344443815,99160.08265198182,96724.48311371893,99964.04344443815,99964.04344443815
2025-03-21,99758.74973587459,98912.98096894706,96756.3944795561,99758.74973587459,99758.74973587459
2025-03-24,100811.30434525461,100361.99991124833,98489.15092995734,100811.30434525461,100811.30434525461
2025-03-25,100943.62512282847,100488.37675428393,98725.90721005165,100943.62512282847,100943.62512282847
2025-03-26,100370.38595124653,99953.17733988876,97547.28373694906,100370.38595124653,100370.38595124653
2025-03-27,100494.8735370794,100235.62767810012,97288.23292479792,100494.8735370794,100494.8735370794
