,no_tilt,spy_bh,static_tilt,hold_to_horizon
2025-04-14,98977.10461186866,92491.4134277901,99470.4227033189,99798.86754562802
2025-04-15,98822.39328956822,92232.34143318569,99305.8189382949,99617.87146888064
2025-04-16,99208.998372754,90182.20828558011,99502.02945219746,99480.64502876521
2025-04-17,99304.61812996591,90310.88109791194,99601.34410073438,99585.84688070246
2025-04-21,100022.46450543043,88161.23278488782,100092.38888690824,99680.37951966202
2025-04-22,102669.62320537429,90455.00650989743,102738.07881330044,102309.45408677086
2025-04-23,102419.14768447274,91856.62825970151,102623.92468565167,102431.1653202114
2025-04-24,103540.48235904895,93790.13081965395,103747.50135849841,103761.99552714353
2025-04-25,103700.5373418316,94467.78927314209,103907.87635545945,104041.64465429037
2025-04-28,104195.3697967327,94503.81003491183,104403.69817913086,104445.66987163667
2025-04-29,104171.94716082721,95099.12170134918,104380.22871197117,104560.0813554191
2025-04-30,103990.31221887011,95136.86883305968,104198.23060883216,104423.06025446283
2025-05-01,104144.08579932005,95811.09572911961,104352.31164441502,104695.97947210491
2025-05-02,104682.28094261886,97233.32800594631,104891.58285590992,105442.03028502488
2025-05-05,104423.84538625718,96675.75287999281,104632.63058309992,105112.03992776158
2025-05-06,105613.03613358611,95867.70583545872,105824.19900023546,105889.05585528034
2025-05-07,105694.259038891,96270.88205959536,105905.58430274196,106044.12637322803
2025-05-08,107089.2963354819,96941.67739822704,107303.41083904619,107310.070992792
2025-05-09,107277.05047227866,96818.15192203755,107491.54037175243,107432.47044214731
2025-05-12,107217.27584053132,100017.75089583242,107431.64622651457,108103.1698571793
2025-05-13,107816.53518494657,100678.26215340607,108032.10373098339,108729.5785363951
2025-05-14,107116.70305872751,100806.93496573789,107330.87235933635,108194.7561171419
2025-05-15,107718.37319456137,101299.29990932849,107933.74547536386,108786.43935091207
2025-05-16,107554.19190521083,101940.9270098203,107769.23592169124,108793.61790657073
2025-05-19,108491.20541331933,102052.44203501099,108708.12289604695,109573.71491039277
2025-05-20,109053.68298202424,101709.32865709494,109271.7250832666,109952.2983247717
2025-05-21,109411.51156679021,99995.45636377558,109630.26911105451,109865.14589448945
2025-05-22,109947.53397223187,100034.8980917469,110167.36324051686,110303.24164997338
2025-05-23,109068.73929142642,99352.09230211642,109286.81149627693,109447.65616289209
2025-05-27,109838.99611836324,101417.68864060225,110058.60837589651,110524.64351705807
2025-05-28,109276.93932423575,100830.94527650882,109495.42780455161,109944.13090663703
2025-05-29,109012.7191206168,101228.95298204986,109230.67931865176,109819.91039847105
2025-05-30,108285.18012232851,101115.7433605983,108501.68567777291,109210.44473499156
2025-06-02,109467.432933029,101685.31834632397,109686.30228655886,110286.00186316537
2025-06-03,109376.06563510963,102265.18800433431,109594.75230872369,110339.84471317272
2025-06-04,109510.8712418045,102237.72495368186,109729.82744595563,110442.32262860495
2025-06-05,108259.18620939692,101743.63364015054,108475.63979257188,109327.42720263475
2025-06-06,109055.37076798572,102788.43696477893,109273.41624378992,110195.94750225818
2025-06-09,110893.419049013,102881.07842411438,111115.13952137322,111697.4831347901
2025-06-10,111024.32900761247,103464.37963955295,111246.31122154498,111930.81032590747
2025-06-11,110498.01738134795,103169.30806563207,110718.94728700658,111442.97833716589
2025-06-12,110375.44081969968,103579.32622217188,110596.12564559269,111433.99431497304
2025-06-13,110433.42056330922,102421.3026848653,110654.22131399065,111228.57927999471
2025-06-16,110503.82124577761,103395.75908221508,110724.76275569169,111499.2837027207
2025-06-17,109779.4402184814,102512.23895671329,109998.93339985696,110723.48230814602
2025-06-18,109928.35136738604,102496.79694828627,110148.14228194143,110839.90639164222
2025-06-20,109184.58016826451,102256.06895820558,109402.88398554207,110189.04536064029
2025-06-23,110205.03907988581,103266.10128580662,110425.38320427852,111230.7389007562
2025-06-24,110188.784792243,104406.9034886123,110409.09641778802,111466.30856326003
2025-06-25,110659.6290782936,104465.40942451824,110880.8821106273,111858.86763226
2025-06-26,110827.33470111013,105282.72379235386,111048.92304432366,112171.18187643518
2025-06-27,110443.64159552318,105805.8032931724,110664.46278215211,111974.19603659734
2025-06-30,110829.96140991348,106311.6932331699,111051.55500497263,112394.95031983439
2025-07-01,110781.47445348755,106277.282337848,111002.97110365157,112348.36720154568
2025-07-02,111848.85139967376,106759.06664603489,112072.4821649433,113314.85600399009
2025-07-03,112124.09748024229,107600.47605445451,112348.27857294804,113718.00300788642
2025-07-07,111444.7837612347,106798.63546872578,111667.60663304737,112996.96722161671
2025-07-08,111401.61934841429,106740.14012404649,111624.35591723367,112949.53394843977
2025-07-09,112431.69646274834,107380.22090545023,112656.49256933214,113919.64354538867
2025-07-10,113926.5458801759,107683.06643971779,114154.33079098075,115192.79336729123
2025-07-11,114435.53848503716,107304.51481749667,114664.3410764379,115593.06712739769
2025-07-14,115098.57575285096,107509.26441071414,115328.70402198326,116206.9441455462
2025-07-15,114196.88512752927,107049.85936439713,114425.21055504045,115348.03740603555
2025-07-16,114725.75717119304,107407.74750346247,114955.14002628058,115863.76185469923
2025-07-17,114993.00521889621,108065.04961936714,115222.92241014079,116188.28059710444
2025-07-18,114733.9421778325,107985.9013827587,114963.3413980349,115948.49674127494
2025-07-21,115091.19769192177,108190.66156720281,115321.31120934772,116291.97489868433
2025-07-22,116141.98098692868,108206.14594053634,116374.1954420885,117223.73590003481
2025-07-23,115571.42323069378,109126.71417679102,115802.4969117995,116843.52657260264
2025-07-24,115285.00092382045,109162.84085082708,115515.50193172593,116594.778714682
2025-07-25,114998.25881512855,109623.9828583115,115228.18651042151,116402.10747494726
2025-07-28,114905.02274057656,109596.45626029928,115134.76401951887,116315.83575594667
2025-07-29,115211.1534167064,109307.36872942453,115441.50677379273,116549.02250047291
2025-07-30,114958.39231761148,109169.72514813681,115188.24030376808,116306.87496958673
2025-07-31,114288.32173612753,108760.21537047524,114516.8299821344,115658.99954621014
2025-08-01,113665.67698651129,106977.57424264518,113892.9403156495,114871.47691279114
2025-08-04,114848.53719569158,108603.61349351925,115078.16553734869,116135.36862401132
2025-08-05,114546.22174280779,108052.99680346188,114775.24563448409,115794.45512076303
2025-08-06,114852.92904578896,108880.64820848868,115082.5661685179,116176.25690464472
2025-08-07,115669.84392904399,108789.44715597497,115901.11439264515,116887.70590561483
2025-08-08,115957.95625743919,109637.7408617043,116189.80277327224,117256.00130928817
2025-08-11,115818.90191437773,109420.93845258151,116050.4704047437,117104.04032667546
2025-08-12,116356.81407408696,110585.84628719783,116589.45806685119,117735.33523231425
2025-08-13,117494.39846385914,110964.38731819231,117729.31694459941,118793.35801824149
