,equal_weight,spy,struct_A,struct_B,struct_C
2025-03-19,101690.6308416067,97005.00234224975,101690.63084160669,101690.6308416067,101690.6308416067
2025-03-20,101213.12264444667,96724.48311371893,101213.12264444666,101213.12264444667,101213.12264444667
2025-03-21,100958.46092213964,96756.3944795561,100958.46092213962,100958.46092213964,100958.46092213964
2025-03-24,101620.14582955143,98489.15092995734,101620.14582955142,101620.14582955143,101620.14582955143
2025-03-25,101694.0376321145,98725.90721005165,101694.03763211449,101694.0376321145,101694.0376321145
2025-03-26,101128.83086536723,97547.28373694906,101128.83086536721,101128.83086536723,101128.83086536723
2025-03-27,100979.69998789983,97288.23292479792,100979.69998789982,100979.69998789983,100979.69998789983
2025-03-28,100210.37822981332,95329.01486658707,100210.3782298133,100210.37822981332,100210.37822981332
2025-03-31,100516.76400848755,95968.93677959136,100516.76400848753,100516.76400848755,100516.76400848755
2025-04-01,100615.02369009153,96239.98745151468,100615.02369009152,100615.02369009153,100615.02369009153
2025-04-02,101051.63097975252,96849.04653011821,101051.6309797525,101051.63097975252,101051.63097975252
2025-04-03,98554.53817436683,92076.23734388134,98554.53817436681,98554.53817436683,98554.53817436683
2025-04-04,95299.29533268764,86685.82195915027,95299.29533268763,95299.29533268764,95299.29533268764
2025-04-07,93811.67431592799,86531.41776172006,94330.74290603552,94895.15788132334,94899.12032832984
2025-04-08,92351.89446809507,85176.10085474377,92859.05298137697,93301.99231305133,93414.34054696914
2025-04-09,97331.46908717878,94121.23374657122,99601.23787782766,102448.03847908757,102566.96781873702
2025-04-10,95101.54500760863,89996.93595813584,97050.76457208523,100295.20023156778,98494.60946865444
2025-04-11,96394.4208922275,91602.72478369271,98513.6832251678,101966.8634746642,100138.81031750632
2025-04-14,96895.35048975114,92491.4134277901,99202.54624870914,102908.8517800127,101035.95979414726
2025-04-15,96853.30545963097,92232.34143318569,99108.50951499626,102776.87243469655,100883.31881447807
2025-04-16,95998.59667683013,90182.20828558011,97677.06022251239,100722.60162616063,98805.58086712712
2025-04-17,96301.83078342801,90310.88109791194,97769.68056010554,100689.48860536257,98660.11327303703
2025-04-21,94926.84421748415,88161.23278488782,95929.76064237728,98328.10321947403,96312.8578331105
2025-04-22,96346.79909178853,90455.00650989743,97810.77750273752,100893.83783154501,98814.97856520393
2025-04-23,97164.13080733074,91856.62825970151,98995.75106060115,102514.94096945225,100405.07830308513
2025-04-24,98297.45069337382,93790.13081965395,100167.39426310762,103827.75411015877,101690.87240239828
