,equal_weight,spy,struct_A,struct_B,struct_C
2026-02-25,104979.16583956165,101460.8461204103,104979.16583956164,104979.16583956165,104979.16583956165
2026-02-26,104752.32851483006,100897.28424596056,104752.32851483005,104752.32851483006,104752.32851483006
2026-02-27,104717.66958035296,100412.78121207196,104717.66958035294,104717.66958035296,104717.66958035296
2026-03-02,104555.4867317513,100469.87378894401,104555.48673175128,104555.4867317513,104555.4867317513
2026-03-03,103683.41828001199,99584.2983140445,103683.41828001197,103683.41828001199,103683.41828001199
2026-03-04,103871.81586665622,100286.89624577564,103871.81586665621,103871.81586665622,103871.81586665622
2026-03-05,103302.68731034052,99727.74195767788,103302.68731034051,103302.68731034052,103302.68731034052
2026-03-06,102947.59693455575,98420.59697352907,102947.59693455574,102947.59693455575,102947.59693455575
2026-03-09,103436.68507568214,99282.76386481542,103436.68507568212,103436.68507568214,103436.68507568214
2026-03-10,103341.26171347781,99123.20386376907,103341.2617134778,103341.26171347781,103341.26171347781
2026-03-11,103471.41018324024,98998.78809292342,103471.41018324022,103471.41018324024,103471.41018324024
2026-03-12,102581.74732948396,97495.49655760342,102581.74732948394,102581.74732948396,102581.74732948396
2026-03-13,102072.63940573156,96943.66137123239,102072.63940573155,102072.63940573156,102072.63940573156
2026-03-16,102639.22795234404,97930.24403336439,102639.22795234402,102639.22795234404,102639.22795234404
2026-03-17,103105.32949432734,98187.85491372421,103105.32949432732,103105.32949432734,103105.32949432734
2026-03-18,102294.6992850043,96817.77640493611,102294.69928500429,102294.6992850043,102294.6992850043
2026-03-19,102185.85442534619,96579.18443885517,102185.85442534617,102185.85442534619,102185.85442534619
2026-03-20,100958.83452272593,95194.6468967905,100958.83452272591,100958.83452272593,100958.83452272593
2026-03-23,101395.58907466916,96194.19252122185,101395.58907466914,101395.58907466916,101395.58907466916
2026-03-24,101313.99864333698,95871.28306988752,101313.99864333696,101313.99864333698,101313.99864333698
2026-03-25,101877.71498666232,96405.5506204126,101877.71498666231,101877.71498666232,101877.71498666232
2026-03-26,100659.93487214459,94683.86855645817,100659.93487214457,100659.93487214459,100659.93487214459
2026-03-27,100026.0260291517,93069.33025829533,100026.02602915169,100026.0260291517,100026.0260291517
2026-03-30,99820.82533025353,92758.15645354854,99820.82533025352,99820.82533025353,99820.82533025353
2026-03-31,101543.94374766108,95454.4436533086,101543.94374766106,101543.94374766108,101543.94374766108
2026-04-01,101877.50603977122,96173.64170193036,101877.50603977121,101877.50603977122,101877.50603977122
2026-04-02,102028.28259893517,96260.24360693936,102086.33274748137,102415.28358924334,102415.28358924334
2026-04-06,102314.04560684388,96715.24627119988,102372.25834349444,102702.13051784773,102702.13051784773
2026-04-07,102329.30825991301,96757.80814672462,102387.52968042313,102717.45106331397,102717.45106331397
2026-04-08,103905.14577675599,99222.18642800246,103964.2637878938,104299.26585100821,104299.26585100821
2026-04-09,104161.45154062762,99794.60826770033,104220.71537983669,104556.54380202161,104556.54380202161
2026-04-10,104001.14382962398,99728.56614049166,104060.31645994273,104395.62803174918,104395.62803174918
2026-04-13,104590.12217249659,100703.15335927957,104649.62990872345,104986.84041400926,104986.84041400926
2026-04-14,105338.26374125897,101930.20927435004,105398.19714111648,105737.81974030932,105737.81974030932
2026-04-15,105496.61486218026,102734.54003253013,105556.63835770397,105896.77149900526,105896.77149900526
2026-04-16,105667.85001487832,102986.99081179497,105727.97093658423,106068.65615958469,106068.65615958469
2026-04-17,106473.5594085334,104231.65915525559,106534.13874773684,106877.42166989,106877.42166989
2026-04-20,106534.88171215437,104023.2304884573,106595.49594137796,106938.97657364521,106938.97657364521
2026-04-21,106095.05593470756,103342.19568751715,106155.41992006675,106497.48250376909,106497.48250376909
2026-04-22,106751.96108880188,104388.71077382521,106812.69882779883,107156.87934878182,107156.87934878182
2026-04-23,106450.50713349484,103983.60700383385,106511.07335684497,106854.28195582922,106854.28195582922
2026-04-24,106574.91251060547,104789.40695746461,106635.54951580586,106979.15921194159,106979.15921194159
2026-04-27,106602.51312225923,104969.93882771817,106663.16583114065,107006.86451480225,107006.86451480225
2026-04-28,106327.84785457139,104459.16048738586,106388.34428953362,106731.15742098648,106731.15742098648
2026-04-29,106265.7092394042,104443.01725444636,106326.17031989658,106668.78310935362,106668.78310935362
2026-04-30,107186.79539067218,105482.18636350115,107247.7805335769,107593.36301003715,107593.36301003715
2026-05-01,107395.35907326761,105774.27854440713,107456.46288084498,107802.71779045028,107802.71779045028
2026-05-04,107157.23712899271,105386.78720280592,107218.2054543892,107563.69263163621,107563.69263163621
2026-05-05,107723.3250772948,106232.21959956894,107784.6154848498,108131.9277943284,108131.9277943284
2026-05-06,108626.10934854852,107708.78790300296,108687.91340545364,109038.13639458297,109038.13639458297
2026-05-07,108070.44668648513,107378.5414329242,108131.93459281657,108480.36606202844,108480.36606202844
2026-05-08,108676.67578190533,108265.06650976134,108738.50860915621,109088.89463024486,109088.89463024486
2026-05-11,109064.64216640774,108511.6494657324,109126.69573153323,109478.33260057801,109478.33260057801
2026-05-12,108716.85820357144,108347.26082841835,108778.71389306684,109129.22946687455,109129.22946687455
2026-05-13,109119.47190766747,108953.44728795472,109181.5566687961,109533.37031519205,109533.37031519205
2026-05-14,109261.81060483897,109813.55372220662,109323.97635118371,109676.24891380424,109676.24891380424
2026-05-15,108184.63529263095,108492.56784189159,108246.18816786494,108594.98779419124,108594.98779419124
2026-05-18,108163.1843731533,108416.25030503716,108224.72504364337,108573.4555097541,108573.4555097541
2026-05-19,107804.91266082312,107694.10490700524,107866.24948855909,108213.82484572993,108213.82484572993
2026-05-20,108467.8474296798,108797.86486483573,108529.56144167123,108879.27417628972,108879.27417628972
2026-05-21,108786.45723965258,109013.62159186963,108848.35252830894,109199.09249736198,109199.09249736198
2026-05-22,108921.01702829474,109442.21457205377,108982.98887626897,109334.1626814566,109334.1626814566
2026-05-26,109551.51403970567,110168.75859792878,109613.84461610537,109967.051215704,109967.051215704
2026-05-27,109648.93341812551,110149.67697408797,109711.31942238545,110064.84011319213,110064.84011319213
2026-05-28,110279.40178027314,110757.32367056618,110342.14649665823,110697.69988950742,110697.69988950742
2026-05-29,110234.59893933704,111033.26366002382,110297.31816463763,110652.72710800808,110652.72710800808
2026-06-01,110165.53455673066,111335.62229206668,110228.21448706747,110583.40075897648,110583.40075897648
2026-06-02,110416.75825719678,111486.80608734254,110479.58112410724,110835.57736993361,110835.57736993361
