Y,tau_future,score_raw,score_norm,direction,n_bull_sets,n_bear_sets,n_bull_firing,n_bear_firing,bull_weight_total,bear_weight_total,bull_weight_fired,bear_weight_fired,top_bull_conditions,top_bear_conditions,latest_date
JNK,252,0.0,0.0,NEUTRAL,3,0,0,0,38.2142,0.0,0.0,0.0,,,2026-06-16
JNK,300,0.0,0.0,NEUTRAL,4,0,0,0,50.6288,0.0,0.0,0.0,,,2026-06-16
JO,63,0.0,0.0,NEUTRAL,2,0,0,0,14.8035,0.0,0.0,0.0,,,2026-06-16
JO,126,0.0,0.0,NEUTRAL,9,0,0,0,110.338,0.0,0.0,0.0,,,2026-06-16
JO,252,0.0,0.0,NEUTRAL,12,0,0,0,179.4442,0.0,0.0,0.0,,,2026-06-16
JO,300,0.0,0.0,NEUTRAL,4,0,0,0,64.771,0.0,0.0,0.0,,,2026-06-16
LINK-USD,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.639,0.0,0.0,,,2026-06-16
LINK-USD,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,9.93,0.0,0.0,,,2026-06-16
LQD,252,0.0,0.0,NEUTRAL,2,0,0,0,19.9248,0.0,0.0,0.0,,,2026-06-16
LQD,300,0.0,0.0,NEUTRAL,2,0,0,0,21.3047,0.0,0.0,0.0,,,2026-06-16
MATIC-USD,21,0.0,0.0,NEUTRAL,4,0,0,0,32.8976,0.0,0.0,0.0,,,2026-06-16
MATIC-USD,63,0.0,0.0,NEUTRAL,9,0,0,0,106.0505,0.0,0.0,0.0,,,2026-06-16
MATIC-USD,126,0.0,0.0,NEUTRAL,13,0,0,0,148.4996,0.0,0.0,0.0,,,2026-06-16
MATIC-USD,252,0.0,0.0,NEUTRAL,16,0,0,0,229.2004,0.0,0.0,0.0,,,2026-06-16
MATIC-USD,300,0.0,0.0,NEUTRAL,10,1,0,0,115.0866,8.4294,0.0,0.0,,,2026-06-16
META,252,0.0,0.0,NEUTRAL,1,0,0,0,8.5722,0.0,0.0,0.0,,,2026-06-16
META,300,0.0,0.0,NEUTRAL,2,0,0,0,18.8065,0.0,0.0,0.0,,,2026-06-16
MTUM,252,0.0,0.0,NEUTRAL,0,2,0,0,0.0,19.3105,0.0,0.0,,,2026-06-16
MTUM,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.5495,0.0,0.0,,,2026-06-16
MUB,252,0.0,0.0,NEUTRAL,0,2,0,0,0.0,17.449,0.0,0.0,,,2026-06-16
MUB,300,0.0,0.0,NEUTRAL,2,1,0,0,17.5634,7.6746,0.0,0.0,,,2026-06-16
MXNUSD=X,300,0.0,0.0,NEUTRAL,1,0,0,0,8.7242,0.0,0.0,0.0,,,2026-06-16
NG=F,63,0.0,0.0,NEUTRAL,0,3,0,0,0.0,24.9265,0.0,0.0,,,2026-06-16
NZDUSD=X,63,0.0,0.0,NEUTRAL,0,2,0,0,0.0,18.1999,0.0,0.0,,,2026-06-16
NZDUSD=X,126,0.0,0.0,NEUTRAL,0,1,0,0,0.0,6.404,0.0,0.0,,,2026-06-16
NZDUSD=X,252,0.0,0.0,NEUTRAL,1,0,0,0,8.4642,0.0,0.0,0.0,,,2026-06-16
PDBC,126,0.0,0.0,NEUTRAL,3,0,0,0,31.1266,0.0,0.0,0.0,,,2026-06-16
PDBC,252,0.0,0.0,NEUTRAL,7,0,0,0,96.0719,0.0,0.0,0.0,,,2026-06-16
PDBC,300,133.2389,1.0,BULLISH,9,0,9,0,133.2389,0.0,133.2389,0.0,"CPER(t=252,q=0.95) & HG=F(t=252,q=0.8) CPE=0.944 lift=4.72 n=126 | CPER(t=252,q=0.95) & DBB(t=252,q=0.9) CPE=1.000 lift=4.00 n=112 | CPER(t=252,q=0.95) & DBB(t=252,q=0.9) & HG=F(t=252,q=0.8) CPE=1.000 lift=4.00 n=112",,2026-06-16
QQQ,21,0.0,0.0,NEUTRAL,1,0,0,0,7.1855,0.0,0.0,0.0,,,2026-06-16
QQQ,63,0.0,0.0,NEUTRAL,4,0,0,0,44.2976,0.0,0.0,0.0,,,2026-06-16
QQQ,126,0.0,0.0,NEUTRAL,4,3,0,0,45.5861,33.4234,0.0,0.0,,,2026-06-16
QQQ,252,0.0,0.0,NEUTRAL,1,4,0,0,9.2695,66.6628,0.0,0.0,,,2026-06-16
QQQ,300,0.0,0.0,NEUTRAL,7,4,0,0,71.907,68.6036,0.0,0.0,,,2026-06-16
QUAL,126,0.0,0.0,NEUTRAL,1,0,0,0,7.3554,0.0,0.0,0.0,,,2026-06-16
SCHP,126,0.0,0.0,NEUTRAL,2,0,0,0,17.1289,0.0,0.0,0.0,,,2026-06-16
SCHP,252,0.0,0.0,NEUTRAL,12,0,0,0,159.9158,0.0,0.0,0.0,,,2026-06-16
SCHP,300,0.0,0.0,NEUTRAL,6,0,0,0,65.6393,0.0,0.0,0.0,,,2026-06-16
SGDUSD=X,252,0.0,0.0,NEUTRAL,2,0,0,0,21.1472,0.0,0.0,0.0,,,2026-06-16
SGDUSD=X,300,0.0,0.0,NEUTRAL,2,0,0,0,20.962,0.0,0.0,0.0,,,2026-06-16
SHY,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,9.9389,0.0,0.0,,,2026-06-16
SI=F,126,0.0,0.0,NEUTRAL,0,2,0,0,0.0,15.0392,0.0,0.0,,,2026-06-16
SI=F,252,0.0,0.0,NEUTRAL,0,4,0,0,0.0,34.5742,0.0,0.0,,,2026-06-16
SI=F,300,0.0,0.0,NEUTRAL,0,6,0,0,0.0,66.442,0.0,0.0,,,2026-06-16
SLV,126,0.0,0.0,NEUTRAL,0,2,0,0,0.0,14.0993,0.0,0.0,,,2026-06-16
SLV,252,0.0,0.0,NEUTRAL,0,2,0,0,0.0,14.5593,0.0,0.0,,,2026-06-16
SLV,300,0.0,0.0,NEUTRAL,0,4,0,0,0.0,37.4337,0.0,0.0,,,2026-06-16
SOL-USD,21,0.0,0.0,NEUTRAL,2,0,0,0,15.8218,0.0,0.0,0.0,,,2026-06-16
SOL-USD,63,0.0,0.0,NEUTRAL,3,2,0,0,27.7693,14.106,0.0,0.0,,,2026-06-16
SOL-USD,126,-11.0906,-0.0458,NEUTRAL,15,6,0,1,183.5012,58.8843,0.0,11.0906,,"DOGE-USD(t=252,q=0.9) & XRP-USD(t=126,q=0.75) CPE=0.929 lift=2.32 n=170",2026-06-16
SOL-USD,252,-32.2427,-0.1285,BEARISH,10,12,0,2,104.2613,146.5676,0.0,32.2427,,"DOGE-USD(t=252,q=0.9) & XRP-USD(t=126,q=0.7) CPE=0.977 lift=3.26 n=173 | DOGE-USD(t=252,q=0.9) & XRP-USD(t=126,q=0.7) & BCH-USD(t=126,q=0.8) CPE=0.974 lift=3.25 n=151",2026-06-16
SOL-USD,300,0.0,0.0,NEUTRAL,4,10,0,0,36.8414,111.3759,0.0,0.0,,,2026-06-16
SOYB,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,9.5364,0.0,0.0,,,2026-06-16
SOYB,300,0.0,0.0,NEUTRAL,1,1,0,0,9.6659,9.4724,0.0,0.0,,,2026-06-16
SPY,63,0.0,0.0,NEUTRAL,4,0,0,0,51.1489,0.0,0.0,0.0,,,2026-06-16
SPY,126,0.0,0.0,NEUTRAL,10,2,0,0,120.8909,19.6781,0.0,0.0,,,2026-06-16
SPY,252,0.0,0.0,NEUTRAL,15,4,0,0,242.2369,64.9378,0.0,0.0,,,2026-06-16
SPY,300,0.0,0.0,NEUTRAL,13,3,0,0,209.8215,57.0412,0.0,0.0,,,2026-06-16
TIP,126,0.0,0.0,NEUTRAL,1,0,0,0,8.3655,0.0,0.0,0.0,,,2026-06-16
TIP,252,0.0,0.0,NEUTRAL,7,0,0,0,77.9005,0.0,0.0,0.0,,,2026-06-16
TIP,300,0.0,0.0,NEUTRAL,5,0,0,0,49.9792,0.0,0.0,0.0,,,2026-06-16
