,no_tilt,spy_bh,static_tilt,hold_to_horizon
2025-09-16,120250.45014297012,113564.32163140479,120775.34512065424,125778.11463313477
2025-09-17,120057.42803704145,113423.22531023559,120598.29996964363,125627.66536356014
2025-09-18,120134.91414556486,113953.18910836383,120622.69420367315,125315.68190349624
2025-09-19,120118.41076696191,114517.58498426728,120606.12381691497,126024.87247530257
2025-09-22,119860.56815995333,115059.36859131498,120591.27250719379,127261.010605962
2025-09-23,119765.76851936408,114433.04581330402,120555.86778341938,127579.29095947396
2025-09-24,119763.96380532686,114068.96180665995,120430.90723884653,126750.56637804185
2025-09-25,118352.30080254204,113542.70493785231,119283.38335887312,126643.07614261824
2025-09-26,119026.01938430846,114193.20748626029,119958.33321366235,127481.7966830488
2025-09-29,121029.66640226182,114514.13224438581,121707.59107690057,128328.00060425623
2025-09-30,121184.05215059992,114945.49172258572,121862.84158766693,128802.33825663729
2025-10-01,122995.42511708826,115337.17646582844,123416.03979499984,129393.44077959892
2025-10-02,123493.41194569287,115470.01163022601,123775.35624855441,129085.04322472519
2025-10-03,124268.68430192243,115468.30644273854,124478.5833662451,129655.77448411593
2025-10-06,125705.34569404002,115882.40222153104,125822.72453303848,130854.91777176039
2025-10-07,124884.62952547605,115452.76911327185,125219.3276559397,131146.47236319756
2025-10-08,126244.08424807193,116141.22002669629,126530.30053470173,132474.76961995647
2025-10-09,124968.93153756595,115804.75793910409,125288.23021422046,130997.11566060908
2025-10-10,121562.778328083,112674.80687163025,122336.53233292086,129912.77840455786
2025-10-13,123829.2320225632,114403.69752431141,124622.49481929162,132708.55388664396
2025-10-14,123290.31165220741,114263.93569769761,124235.30962146186,133046.0711103136
2025-10-15,122921.29117820818,114771.22367961034,124054.17114446804,133793.2560930661
2025-10-16,122529.0174231533,113989.60174551891,123876.74749936658,134833.471435107
2025-10-17,121534.41745954905,114636.64096281878,122954.85250261628,133931.5788484402
2025-10-20,124425.5833489167,115828.91652704783,125720.29908683454,136629.92781924905
2025-10-21,122054.59199007679,115827.17956588045,123325.10207956469,133289.203328914
2025-10-22,121268.34768216051,115225.01537581327,122539.52377312977,132363.0906948751
2025-10-23,122853.1175002347,115908.2871794155,124044.54628961292,133828.45672412458
2025-10-24,123438.1791779732,116855.55589800524,124592.16213856489,134207.11697070184
