Date,Cash,Shares,Price,Portfolio
2025-07-29,31.22564697265625,173,631.6372680664062,109304.47302246094
2025-07-30,31.22564697265625,173,630.841796875,109166.85650634766
2025-07-31,31.22564697265625,173,628.475341796875,108757.45977783203
2025-08-01,31.22564697265625,173,618.1743774414062,106975.39294433594
2025-08-04,31.22564697265625,173,627.570556640625,108600.93194580078
2025-08-05,31.22564697265625,173,624.3887939453125,108050.48699951172
2025-08-06,31.22564697265625,173,629.17138671875,108877.8755493164
2025-08-07,31.22564697265625,173,628.6444091796875,108786.7084350586
2025-08-08,31.22564697265625,173,633.5462646484375,109634.72943115234
2025-08-11,31.22564697265625,173,632.29345703125,109417.9937133789
2025-08-12,31.22564697265625,173,639.0248413085938,110582.52319335938
2025-08-13,31.22564697265625,173,641.2123413085938,110960.96069335938
2025-08-14,31.22564697265625,173,641.27197265625,110971.2769165039
2025-08-15,31.22564697265625,173,639.7705688476562,110711.53405761719
2025-08-18,31.22564697265625,173,639.6314086914062,110687.45935058594
2025-08-19,31.22564697265625,173,636.1612548828125,110087.12274169922
2025-08-20,31.22564697265625,173,634.470947265625,109794.69952392578
2025-08-21,31.22564697265625,173,631.9255981445312,109354.35412597656
2025-08-22,31.22564697265625,173,641.6299438476562,111033.20593261719
2025-08-25,31.22564697265625,173,638.8060913085938,110544.67944335938
2025-08-26,31.22564697265625,173,641.4807739257812,111007.39953613281
2025-08-27,31.22564697265625,173,642.9423828125,111260.25787353516
2025-08-28,31.22564697265625,173,645.2192993164062,111654.16442871094
2025-08-29,31.22564697265625,173,641.3713989257812,110988.47766113281
2025-09-02,31.22564697265625,173,636.6187133789062,110166.26306152344
2025-09-03,31.22564697265625,173,640.06884765625,110763.1362915039
2025-09-04,31.22564697265625,173,645.418212890625,111688.57647705078
2025-09-05,31.22564697265625,173,643.5488891601562,111365.18347167969
2025-09-08,31.22564697265625,173,645.1298828125,111638.69537353516
2025-09-09,31.22564697265625,173,646.6212768554688,111896.70654296875
2025-09-10,31.22564697265625,173,648.4905395507812,112220.08898925781
2025-09-11,31.22564697265625,173,653.8796997070312,113152.41369628906
2025-09-12,31.22564697265625,173,653.6608276367188,113114.548828125
2025-09-15,31.22564697265625,173,657.1409301757812,113716.60656738281
2025-09-16,31.22564697265625,173,656.2361450195312,113560.07873535156
2025-09-17,31.22564697265625,173,655.4208374023438,113419.03051757812
2025-09-18,31.22564697265625,173,658.4832153320312,113948.82189941406
2025-09-19,31.22564697265625,173,661.74462890625,114513.0464477539
2025-09-22,31.22564697265625,173,664.8753662109375,115054.66400146484
2025-09-23,31.22564697265625,173,661.256103515625,114428.53155517578
2025-09-24,31.22564697265625,173,659.1522216796875,114064.5599975586
2025-09-25,31.22564697265625,173,656.1112670898438,113538.47485351562
2025-09-26,31.22564697265625,173,659.8701782226562,114188.76647949219
2025-09-29,31.22564697265625,173,661.7246704101562,114509.59362792969
