zone,pred_col,pred_type,ticker,rationale,source,horizon,q_target,cpe_train,lift_train,uncond_prob,n_cond_train,n_cond_oos,hit_rate_oos,calibration_err,threshold
India_Sugar,India_Sugar_tmax_q95,tmax_q95,CANE,India heat → sugar ETF,Paper 7 heat,126,0.55,0.5887096774193549,1.3086664234717806,0.4498546511627907,124,4,0.0,-0.5887096774193549,-0.00128601926161488
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_tmax_q95,tmax_q95,GC=F,Ukraine heat → gold,Paper 7 heat,126,0.55,0.5848375451263538,1.299612302537454,0.4500092404361486,277,11,1.0,0.4151624548736462,0.040621524384592954
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_seasonal_q90,seasonal_q90,GC=F,Ukraine heat → gold,Paper 7 heat,126,0.55,0.5848375451263538,1.299612302537454,0.4500092404361486,277,11,1.0,0.4151624548736462,0.040621524384592954
EU_Urban_Energy,EU_Urban_Energy_GDD30_q90,GDD30_q90,UNG,EU Urban heat → nat gas ETF,Paper 7 heat,21,0.55,0.5845070422535211,1.298942231450222,0.4499869417602507,426,42,0.4523809523809524,-0.13212608987256874,-0.003661386035690164
India_Sugar,India_Sugar_seasonal_q90,seasonal_q90,SOYB,India heat → soybeans (food inflation),Paper 7 heat,21,0.55,0.582089552238806,1.2939502809056493,0.4498546511627907,134,24,0.875,0.292910447761194,0.003247492941805545
Brazil_Soy,Brazil_Soy_tmax_q95,tmax_q95,GC=F,Brazil Soy heat → gold,Paper 7 heat,63,0.55,0.582089552238806,1.293505777069478,0.4500092404361486,268,8,0.125,-0.457089552238806,0.02390795910283632
EU_Urban_Energy,EU_Urban_Energy_GDD30_q90,GDD30_q90,UNG,EU Urban heat → nat gas ETF,Paper 7 heat,21,0.5,0.6455399061032864,1.2914170848847877,0.4998694176025072,426,42,0.5238095238095238,-0.12173038229376254,-0.016315572767899272
EU_Urban_Energy,EU_Urban_Energy_tmax_q95,tmax_q95,DBB,EU Urban heat → base metals,Paper 7 heat,63,0.5,0.6456310679611651,1.2912621359223302,0.5,206,18,1.0,0.3543689320388349,0.0073736835000583305
Brazil_Soy,Brazil_Soy_GDD30_q90,GDD30_q90,GC=F,Brazil Soy heat → gold,Paper 7 heat,126,0.55,0.5805860805860806,1.2901647975569948,0.4500092404361486,546,2,0.0,-0.5805860805860806,0.040621524384592954
India_Sugar,India_Sugar_GDD30_q90,GDD30_q90,CANE,India heat → sugar ETF,Paper 7 heat,126,0.5,0.6436781609195402,1.2873563218390804,0.5,261,0,,,-0.020990513444169114
EU_Wheat_Belt,EU_Wheat_Belt_seasonal_q90,seasonal_q90,NG=F,EU Wheat heat → nat gas,Paper 7 heat,126,0.5,0.6423357664233577,1.2846715328467153,0.5,274,11,0.6363636363636364,-0.005972130059721303,0.02180928099272797
US_Great_Plains_Wheat,US_Great_Plains_Wheat_heatstress_32C,heatstress_32C,WEAT,US Plains heat → wheat,Paper 7 heat,42,0.5,0.64,1.28,0.5,50,0,,,-0.017804065912256698
EU_Wheat_Belt,EU_Wheat_Belt_tmax_q95,tmax_q95,NG=F,EU Wheat heat → nat gas,Paper 7 heat,126,0.5,0.6383763837638377,1.2767527675276753,0.5,271,10,0.6,-0.038376383763837674,0.02180928099272797
