zone,pred_col,pred_type,ticker,rationale,horizon,q_target,cpe_train,lift_train,uncond_prob,threshold,n_cond_train,n_cond_oos,hit_rate_oos,calibration_err,type_group
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_tmax_q90,tmax_q90,GC=F,Black Sea wheat → gold,126,0.5,0.5911602209944752,1.1825389855087265,0.4999075956385141,0.03163254647015076,543,19,1.0,0.4088397790055248,tmax
EU_Urban_Energy,EU_Urban_Energy_heatstress_30C,heatstress_30C,UNG,EU urban heat → nat gas ETF,63,0.5,0.5909090909090909,1.1821269117507363,0.4998694176025072,-0.05042666641665757,44,7,0.2857142857142857,-0.30519480519480524,heat_stress
US_Corn_Belt,US_Corn_Belt_seasonal_q90,seasonal_q90,WEAT,US Corn Belt → wheat,42,0.5,0.5909090909090909,1.1818181818181819,0.5,-0.017804065912256698,110,4,0.5,-0.09090909090909094,seasonal
EU_Urban_Energy,EU_Urban_Energy_heatstress_30C,heatstress_30C,DBB,EU urban heat → base metals,21,0.5,0.5909090909090909,1.1818181818181819,0.5,0.002977991510021801,44,7,0.7142857142857143,0.12337662337662336,heat_stress
US_Corn_Belt,US_Corn_Belt_seasonal_q80,seasonal_q80,GC=F,US Corn Belt → gold,126,0.5,0.5902004454342984,1.1806190795730087,0.4999075956385141,0.03163254647015076,449,10,1.0,0.4097995545657016,seasonal
US_Corn_Belt,US_Corn_Belt_tmax_q95,tmax_q95,GC=F,US Corn Belt → gold,126,0.5,0.5899280575539568,1.1800742031144031,0.4999075956385141,0.03163254647015076,278,6,1.0,0.41007194244604317,tmax
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_tmax_q95,tmax_q95,ZW=F,Black Sea wheat → wheat futures,126,0.5,0.5892857142857143,1.1785714285714286,0.5,0.010970113771031225,280,11,0.0,-0.5892857142857143,tmax
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_seasonal_q90,seasonal_q90,ZW=F,Black Sea wheat → wheat futures,126,0.5,0.5892857142857143,1.1785714285714286,0.5,0.010970113771031225,280,11,0.0,-0.5892857142857143,seasonal
US_Corn_Belt,US_Corn_Belt_seasonal_q80,seasonal_q80,GC=F,US Corn Belt → gold,42,0.5,0.5879732739420935,1.1761639132349975,0.4999075956385141,0.010950268561288402,449,10,1.0,0.41202672605790647,seasonal
EU_Wheat_Belt,EU_Wheat_Belt_seasonal_q90,seasonal_q90,GC=F,EU wheat zone → gold futures,63,0.5,0.5875912408759124,1.1753997058704482,0.4999075956385141,0.015176794178163103,274,11,1.0,0.4124087591240876,seasonal
US_Corn_Belt,US_Corn_Belt_seasonal_q90,seasonal_q90,CORN,US Corn Belt → corn ETF,42,0.5,0.5874125874125874,1.1752086034070368,0.499836867862969,-0.010586128998881988,143,4,1.0,0.4125874125874126,seasonal
US_Urban_Energy,US_Urban_Energy_GDD30_q80,GDD30_q80,NG=F,US urban heat → nat gas,63,0.5,0.587431693989071,1.174863387978142,0.5,0.0065355641017601105,1098,40,0.375,-0.21243169398907102,GDD
EU_Wheat_Belt,EU_Wheat_Belt_tmax_q95,tmax_q95,GC=F,EU wheat zone → gold futures,63,0.5,0.5867158671586716,1.1736486348227624,0.4999075956385141,0.015176794178163103,271,10,1.0,0.41328413284132837,tmax
EU_Wheat_Belt,EU_Wheat_Belt_tmax_q95,tmax_q95,NG=F,EU wheat zone → nat gas,21,0.5,0.5867158671586716,1.1734317343173433,0.5,-0.0010968047089297056,271,10,0.6,0.013284132841328344,tmax
EU_Urban_Energy,EU_Urban_Energy_tmax_q80,tmax_q80,NG=F,EU urban heat → nat gas,126,0.5,0.5866543095458758,1.1733086190917517,0.5,0.02180928099272797,1079,54,0.5,-0.08665430954587583,tmax
EU_Urban_Energy,EU_Urban_Energy_seasonal_q80,seasonal_q80,NG=F,EU urban heat → nat gas,126,0.5,0.5866543095458758,1.1733086190917517,0.5,0.02180928099272797,1079,54,0.5,-0.08665430954587583,seasonal
US_Corn_Belt,US_Corn_Belt_GDD30_q80,GDD30_q80,WEAT,US Corn Belt → wheat,63,0.5,0.5860215053763441,1.1720430107526882,0.5,-0.024401330117228327,558,35,0.2571428571428571,-0.328878648233487,GDD
US_Corn_Belt,US_Corn_Belt_GDD30_q90,GDD30_q90,CORN,US Corn Belt → corn ETF,42,0.5,0.5856697819314641,1.1717218548433013,0.499836867862969,-0.010586128998881988,321,24,0.9583333333333334,0.37266355140186924,GDD
US_Corn_Belt,US_Corn_Belt_tmax_q90,tmax_q90,GC=F,US Corn Belt → gold,126,0.5,0.5853658536585366,1.170948108741716,0.4999075956385141,0.03163254647015076,533,17,0.9411764705882353,0.35581061692969873,tmax
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_tmax_q95,tmax_q95,WEAT,Black Sea wheat → wheat ETF,126,0.5,0.5853658536585366,1.170731707317073,0.5,-0.0581499238242462,164,11,0.0,-0.5853658536585366,tmax
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_seasonal_q90,seasonal_q90,WEAT,Black Sea wheat → wheat ETF,126,0.5,0.5853658536585366,1.170731707317073,0.5,-0.0581499238242462,164,11,0.0,-0.5853658536585366,seasonal
Thailand_Sugar,Thailand_Sugar_tmax_q95,tmax_q95,CANE,Thailand sugar → sugar ETF,63,0.5,0.5853658536585366,1.170731707317073,0.5,-0.004753872020978338,164,1,0.0,-0.5853658536585366,tmax
EU_Wheat_Belt,EU_Wheat_Belt_GDD30_q80,GDD30_q80,WEAT,EU wheat zone → wheat ETF,63,0.5,0.585,1.17,0.5,-0.024401330117228327,600,45,0.24444444444444444,-0.3405555555555555,GDD
EU_Wheat_Belt,EU_Wheat_Belt_GDD30_q80,GDD30_q80,NG=F,EU wheat zone → nat gas,63,0.5,0.5849909584086799,1.1699819168173597,0.5,0.0065355641017601105,1106,46,0.43478260869565216,-0.1502083497130277,GDD
US_Urban_Energy,US_Urban_Energy_GDD30_q90,GDD30_q90,NG=F,US urban heat → nat gas,126,0.5,0.5848375451263538,1.1696750902527075,0.5,0.02180928099272797,554,27,0.14814814814814814,-0.43668939697820564,GDD
US_Great_Plains_Wheat,US_Great_Plains_Wheat_seasonal_q90,seasonal_q90,ZW=F,US Plains wheat → wheat futures,63,0.5,0.5833333333333334,1.1666666666666667,0.5,0.009525236987065146,180,3,0.0,-0.5833333333333334,seasonal
US_Great_Plains_Wheat,US_Great_Plains_Wheat_GDD30_q90,GDD30_q90,ZW=F,US Plains wheat → wheat futures,126,0.5,0.5833333333333334,1.1666666666666667,0.5,0.010970113771031225,576,7,0.5714285714285714,-0.011904761904761973,GDD
EU_Wheat_Belt,EU_Wheat_Belt_seasonal_q80,seasonal_q80,NG=F,EU wheat zone → nat gas,126,0.5,0.5822784810126582,1.1645569620253164,0.5,0.02180928099272797,553,21,0.42857142857142855,-0.15370705244122967,seasonal
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_tmax_q95,tmax_q95,ZW=F,Black Sea wheat → wheat futures,42,0.5,0.5821428571428572,1.1642857142857144,0.5,0.00508835880796275,280,11,0.09090909090909091,-0.49123376623376624,tmax
US_Corn_Belt,US_Corn_Belt_tmax_q95,tmax_q95,CORN,US Corn Belt → corn ETF,42,0.5,0.5818181818181818,1.164016140517446,0.499836867862969,-0.010586128998881988,165,5,1.0,0.4181818181818182,tmax
US_Corn_Belt,US_Corn_Belt_seasonal_q90,seasonal_q90,WEAT,US Corn Belt → wheat,126,0.5,0.5818181818181818,1.1636363636363636,0.5,-0.0581499238242462,110,4,0.25,-0.3318181818181818,seasonal
EU_Wheat_Belt,EU_Wheat_Belt_GDD30_q90,GDD30_q90,ZW=F,EU wheat zone → wheat futures,126,0.5,0.5815602836879432,1.1631205673758864,0.5,0.010970113771031225,564,24,0.25,-0.3315602836879432,GDD
Ukraine_Russia_Wheat,Ukraine_Russia_Wheat_heatstress_30C,heatstress_30C,WEAT,Black Sea wheat → wheat ETF,63,0.5,0.5813953488372093,1.1627906976744187,0.5,-0.024401330117228327,43,2,0.0,-0.5813953488372093,heat_stress
EU_Urban_Energy,EU_Urban_Energy_heatstress_30C,heatstress_30C,NG=F,EU urban heat → nat gas,42,0.5,0.5806451612903226,1.1612903225806452,0.5,0.0004339532622943069,62,7,0.5714285714285714,-0.009216589861751223,heat_stress
EU_Wheat_Belt,EU_Wheat_Belt_seasonal_q90,seasonal_q90,GC=F,EU wheat zone → gold futures,126,0.5,0.5802919708029197,1.1607984672882066,0.4999075956385141,0.03163254647015076,274,11,1.0,0.4197080291970803,seasonal
