threshold,uncond_prob,cpe_train,lift_train,n_cond_train,n_cond_oos,hit_rate_oos,calibration_err,direction,temp_predictor,ticker,instrument,horizon,q_target,region,asset_class
0.024258908234410258,0.44994866529774125,0.6774193548387096,1.505548092670629,217,22,1.0,0.32258064516129037,D1_tail_to_median,Europe_tmax_q95_exceed,DBB,Base metals ETF,126,0.55,Europe,Metals
0.008584851752618382,0.5,0.74,1.48,400,30,1.0,0.26,D1_tail_to_median,Europe_tmax_q90_exceed,DBB,Base metals ETF,126,0.5,Europe,Metals
-0.020990513444169114,0.5,0.7354497354497355,1.470899470899471,189,22,0.0,-0.7354497354497355,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,126,0.5,Europe,Agricultural
-0.004753872020978338,0.5,0.7340425531914894,1.4680851063829787,188,46,0.10869565217391304,-0.6253469010175763,D1_tail_to_median,Asia_tmax_q95_exceed,CANE,Sugar ETF,63,0.5,Asia,Agricultural
0.024258908234410258,0.44994866529774125,0.66,1.4668339988590988,400,30,1.0,0.33999999999999997,D1_tail_to_median,Europe_tmax_q90_exceed,DBB,Base metals ETF,126,0.55,Europe,Metals
0.005258808801037032,0.4498546511627907,0.6580645161290323,1.462838084319141,155,16,0.125,-0.5330645161290323,D1_tail_to_median,North_America_tmax_q95_exceed,CANE,Sugar ETF,63,0.55,North America,Agricultural
0.005258808801037032,0.4498546511627907,0.6507936507936508,1.4466753852860477,189,22,0.13636363636363635,-0.5144300144300145,D1_tail_to_median,Europe_tmax_q95_exceed,CANE,Sugar ETF,63,0.55,Europe,Agricultural
0.005258808801037032,0.4498546511627907,0.6396396396396397,1.4218806852086334,333,55,0.05454545454545454,-0.5850941850941851,D1_tail_to_median,Asia_tmax_q90_exceed,CANE,Sugar ETF,63,0.55,Asia,Agricultural
0.005258808801037032,0.4498546511627907,0.6388059701492538,1.420027487763123,335,30,0.1,-0.5388059701492538,D1_tail_to_median,Europe_tmax_q90_exceed,CANE,Sugar ETF,63,0.55,Europe,Agricultural
-0.00128601926161488,0.4498546511627907,0.6366366366366366,1.415205189033945,333,55,0.0,-0.6366366366366366,D1_tail_to_median,Asia_tmax_q90_exceed,CANE,Sugar ETF,126,0.55,Asia,Agricultural
0.005258808801037032,0.4498546511627907,0.6344827586206897,1.4104172469500307,290,29,0.10344827586206896,-0.5310344827586208,D1_tail_to_median,North_America_tmax_q90_exceed,CANE,Sugar ETF,63,0.55,North America,Agricultural
