ticker,group,event,horizon,car,beta
RNR,cat-exposed,Helene_2024,2 weeks,0.031037993168521905,0.19026097974429243
RNR,cat-exposed,Milton_2024,2 weeks,0.0402967053687454,0.2140608776213481
RNR,cat-exposed,Katrina_2005,1 month,-0.016599729905807645,0.4971722915147218
RNR,cat-exposed,Rita_2005,1 month,-0.08372162497472713,0.5720040620782277
RNR,cat-exposed,Wilma_2005,1 month,0.12913625080464794,0.5094220261652511
RNR,cat-exposed,Ike_2008,1 month,1.8418692407859427e-05,0.7069982684828396
RNR,cat-exposed,Sandy_2012,1 month,-0.008183054002201252,0.6125015824205385
RNR,cat-exposed,Harvey_2017,1 month,-0.10131734791629755,0.6026481227947589
RNR,cat-exposed,Irma_2017,1 month,0.03204697488894677,0.6068377636254705
RNR,cat-exposed,Maria_2017,1 month,0.030144327237834084,0.6006355115080378
RNR,cat-exposed,Michael_2018,1 month,-0.04481986316064488,0.5382993063467099
RNR,cat-exposed,Laura_2020,1 month,-0.031969869351292333,0.9003790885301619
RNR,cat-exposed,Ida_2021,1 month,-0.08283594239683557,0.7242568382380062
RNR,cat-exposed,Ian_2022,1 month,0.03445631598141259,0.586769663552524
RNR,cat-exposed,Helene_2024,1 month,0.016221052420723706,0.19026097974429243
RNR,cat-exposed,Milton_2024,1 month,0.031223342950682194,0.2140608776213481
RNR,cat-exposed,Katrina_2005,3 months,0.02278474098890905,0.4971722915147218
RNR,cat-exposed,Rita_2005,3 months,-0.011539313895766214,0.5720040620782277
RNR,cat-exposed,Wilma_2005,3 months,0.16465253673964136,0.5094220261652511
RNR,cat-exposed,Ike_2008,3 months,0.17350758928207544,0.7069982684828396
RNR,cat-exposed,Sandy_2012,3 months,0.0033828250191891215,0.6125015824205385
RNR,cat-exposed,Harvey_2017,3 months,-0.1373078254515346,0.6026481227947589
RNR,cat-exposed,Irma_2017,3 months,-0.09430425062963402,0.6068377636254705
RNR,cat-exposed,Maria_2017,3 months,-0.10559603173530868,0.6006355115080378
RNR,cat-exposed,Michael_2018,3 months,0.04451483832533196,0.5382993063467099
RNR,cat-exposed,Laura_2020,3 months,-0.0594342943757734,0.9003790885301619
RNR,cat-exposed,Ida_2021,3 months,0.06702451938525796,0.7242568382380062
RNR,cat-exposed,Ian_2022,3 months,0.3365561808030852,0.586769663552524
RNR,cat-exposed,Helene_2024,3 months,-0.1106237868953475,0.19026097974429243
RNR,cat-exposed,Milton_2024,3 months,-0.1062152473558113,0.2140608776213481
EG,cat-exposed,Katrina_2005,1 week,-0.03380418476712964,0.7665225460832761
EG,cat-exposed,Rita_2005,1 week,-0.0023768615523924257,0.7835007087404903
EG,cat-exposed,Wilma_2005,1 week,0.03649814939907074,0.7515616831161531
EG,cat-exposed,Ike_2008,1 week,0.20873885841392353,0.806938107131284
EG,cat-exposed,Sandy_2012,1 week,-0.06293703407319311,0.6951448345379918
EG,cat-exposed,Harvey_2017,1 week,-0.03422663352936304,0.5518302062560139
EG,cat-exposed,Irma_2017,1 week,0.02772991314407494,0.5452366733388617
EG,cat-exposed,Maria_2017,1 week,-0.02852276073367974,0.5493423632339686
EG,cat-exposed,Michael_2018,1 week,-0.04608676367289743,0.5214453135513791
EG,cat-exposed,Laura_2020,1 week,-0.016355515528362254,1.087046463953407
EG,cat-exposed,Ida_2021,1 week,-0.04623190681899231,0.8733533000074489
EG,cat-exposed,Ian_2022,1 week,0.06029399886161241,0.6718286650565799
EG,cat-exposed,Helene_2024,1 week,0.03632557680094395,0.3995845824696963
EG,cat-exposed,Milton_2024,1 week,0.03368930601499946,0.42350609284646656
EG,cat-exposed,Katrina_2005,2 weeks,-0.02205347449748315,0.7665225460832761
EG,cat-exposed,Rita_2005,2 weeks,-0.02636582486946789,0.7835007087404903
EG,cat-exposed,Wilma_2005,2 weeks,0.0546882674096866,0.7515616831161531
EG,cat-exposed,Ike_2008,2 weeks,0.07290099633135494,0.806938107131284
EG,cat-exposed,Sandy_2012,2 weeks,-0.08380561041394549,0.6951448345379918
EG,cat-exposed,Harvey_2017,2 weeks,-0.15412003215781464,0.5518302062560139
EG,cat-exposed,Irma_2017,2 weeks,-0.0014142392861424382,0.5452366733388617
EG,cat-exposed,Maria_2017,2 weeks,-0.0017984761807467303,0.5493423632339686
EG,cat-exposed,Michael_2018,2 weeks,-0.05467579770413905,0.5214453135513791
EG,cat-exposed,Laura_2020,2 weeks,0.012578548976183788,1.087046463953407
EG,cat-exposed,Ida_2021,2 weeks,-0.02845483146986806,0.8733533000074489
EG,cat-exposed,Ian_2022,2 weeks,0.062286264278408554,0.6718286650565799
EG,cat-exposed,Helene_2024,2 weeks,0.01694684327854286,0.3995845824696963
EG,cat-exposed,Milton_2024,2 weeks,0.022883666900088428,0.42350609284646656
EG,cat-exposed,Katrina_2005,1 month,0.007811884949329555,0.7665225460832761
EG,cat-exposed,Rita_2005,1 month,-0.009427832357953338,0.7835007087404903
EG,cat-exposed,Wilma_2005,1 month,0.07145710291655266,0.7515616831161531
EG,cat-exposed,Ike_2008,1 month,0.16591469059081393,0.806938107131284
EG,cat-exposed,Sandy_2012,1 month,-0.07399860169187311,0.6951448345379918
EG,cat-exposed,Harvey_2017,1 month,-0.1688513925463316,0.5518302062560139
EG,cat-exposed,Irma_2017,1 month,-0.023390960759725424,0.5452366733388617
EG,cat-exposed,Maria_2017,1 month,0.006326717201769087,0.5493423632339686
EG,cat-exposed,Michael_2018,1 month,0.00612388486846064,0.5214453135513791
EG,cat-exposed,Laura_2020,1 month,-0.011478943495715543,1.087046463953407
EG,cat-exposed,Ida_2021,1 month,-0.012388559624641908,0.8733533000074489
EG,cat-exposed,Ian_2022,1 month,0.06825884307954745,0.6718286650565799
EG,cat-exposed,Helene_2024,1 month,0.012213252381488623,0.3995845824696963
EG,cat-exposed,Milton_2024,1 month,-0.031241697959712114,0.42350609284646656
EG,cat-exposed,Katrina_2005,3 months,0.05018244322776698,0.7665225460832761
EG,cat-exposed,Rita_2005,3 months,-0.032883359499110615,0.7835007087404903
EG,cat-exposed,Wilma_2005,3 months,-0.06650355752491795,0.7515616831161531
EG,cat-exposed,Ike_2008,3 months,0.32280298628921045,0.806938107131284
EG,cat-exposed,Sandy_2012,3 months,-0.0767715986414182,0.6951448345379918
EG,cat-exposed,Harvey_2017,3 months,-0.26589758557728804,0.5518302062560139
EG,cat-exposed,Irma_2017,3 months,-0.15119451018750493,0.5452366733388617
EG,cat-exposed,Maria_2017,3 months,-0.13047345805576563,0.5493423632339686
EG,cat-exposed,Michael_2018,3 months,0.033902983172994144,0.5214453135513791
EG,cat-exposed,Laura_2020,3 months,0.1145536873440629,1.087046463953407
EG,cat-exposed,Ida_2021,3 months,0.012744931614202194,0.8733533000074489
EG,cat-exposed,Ian_2022,3 months,0.24341488047878582,0.6718286650565799
EG,cat-exposed,Helene_2024,3 months,-0.0569719228143787,0.3995845824696963
EG,cat-exposed,Milton_2024,3 months,-0.02617503948621143,0.42350609284646656
ACGL,cat-exposed,Katrina_2005,1 week,-0.044421012818074826,0.5001380222844313
ACGL,cat-exposed,Rita_2005,1 week,0.02325225337399805,0.516959362850937
ACGL,cat-exposed,Wilma_2005,1 week,0.004228989387454246,0.4129964427742593
ACGL,cat-exposed,Ike_2008,1 week,0.1683276762236977,0.6623156917451245
ACGL,cat-exposed,Sandy_2012,1 week,-0.02917229927764675,0.5897156902043253
ACGL,cat-exposed,Harvey_2017,1 week,-0.006517438851884641,0.5864884831672923
ACGL,cat-exposed,Irma_2017,1 week,0.009576963409887162,0.5910198199613931
ACGL,cat-exposed,Maria_2017,1 week,0.016516066698221338,0.6003131348943856
ACGL,cat-exposed,Michael_2018,1 week,-0.018259689714023503,0.5070828368469515
ACGL,cat-exposed,Laura_2020,1 week,-0.009825257348632932,1.3720236229803067
ACGL,cat-exposed,Ida_2021,1 week,-0.06231245758326603,0.9166411858623267
ACGL,cat-exposed,Ian_2022,1 week,0.09525095864183171,0.6442750181751924
ACGL,cat-exposed,Helene_2024,1 week,0.0024489711893290384,0.2260319638225031
ACGL,cat-exposed,Milton_2024,1 week,-0.025432784404068404,0.22310390323562754
ACGL,cat-exposed,Katrina_2005,2 weeks,-0.042342880048143905,0.5001380222844313
ACGL,cat-exposed,Rita_2005,2 weeks,-0.003053804306998251,0.516959362850937
